6374,6,,,,,,,,,
LCD,PLD,AGSA,Density,VF,dH,LNG-ANG_WC,ANG_WC,5bar,6bar,65bar
6.22212,3.9555,878.992,1.17326,0.5082,-26.6476006,32.1677017,18.2177663,105.919251,138.0869527,124.1370173
5.82193,4.26368,922.882,1.16598,0.4946,-26.24269807,54.9349015,32.0667592,106.8566584,161.7915599,138.9234176
5.44423,4.05664,831.67,1.19946,0.4854,-27.07876354,60.1454806,36.5044656,106.2084159,166.3538965,142.7128815
5.78749,4.25745,915.371,1.1858,0.5034,-26.34877717,55.155498,28.4831006,107.1161142,162.2716122,135.5992148
4.74057,3.91438,544.15,1.12547,0.4952,-26.97230645,7.76710547,7.21600264,85.64307234,93.41017781,92.85907498
6.18036,4.30595,1222.5,1.16997,0.575,-22.86946131,84.0329072,41.5914123,120.2468425,204.2797497,161.8382548
8.28593,5.15676,2601.62,0.856166,0.6884,-16.88856571,222.4984595,130.9460195,87.22948582,309.7279453,218.1755053
5.37817,4.58095,918.075,1.47856,0.5162,-20.96262532,69.7559183,50.8818384,112.5493723,182.3052906,163.4312107
4.6223,3.84632,774.446,1.67938,0.5928,-21.34680331,116.2055286,53.4301033,101.6868653,217.8923939,155.1169686
4.94052,4.11721,898.154,1.67517,0.6094,-21.15443434,105.3741072,61.1561964,112.8801723,218.2542795,174.0363687
6.42024,5.0837,555.703,1.7783,0.4528,-19.51217754,80.26556814,37.31750544,59.49368266,139.7592508,96.8111881
5.76705,4.61254,815.894,1.521,0.5144,-20.38633671,81.22723066,43.48182276,91.05281904,172.2800497,134.5346418
5.37126,3.88285,876.362,1.20144,0.5218,-25.68933446,40.15708364,23.03171874,94.54618886,134.7032725,117.5779076
5.99031,5.00967,812.946,1.72662,0.5696,-20.74305011,138.8294003,78.10665559,97.15547011,235.9848704,175.2621257
8.84649,5.74514,2292.69,0.874994,0.6506,-22.26388205,173.8882891,92.2718973,141.324077,315.2123661,233.5959743
9.7655,7.73483,2562.17,0.727417,0.6748,-17.69730084,243.6885851,131.7057953,78.85523041,322.5438155,210.5610257
12.53569,7.27061,2801.34,0.659976,0.7014,-15.65751359,273.4758055,151.5431678,68.9244096,342.4002151,220.4675774
12.40052,7.22634,2773.85,0.666065,0.713,-15.79033014,273.8925544,151.450749,69.88667709,343.7792315,221.3374261
8.85063,6.25728,1681.44,0.902561,0.6232,-17.92855683,199.2690123,114.4052072,84.32761895,283.5966312,198.7328261
9.00205,6.2555,1697.06,0.893575,0.6152,-17.93501097,196.722901,113.4878325,84.15592695,280.8788279,197.6437594
16.49185,4.42819,2411.81,0.849052,0.699,-19.60434779,214.5258191,125.7560241,106.833984,321.3598031,232.5900081
16.41069,4.04736,2199.93,0.886766,0.696,-19.07403239,230.9631525,128.1822974,97.97324504,328.9363975,226.1555424
12.32132,7.27063,4325.4,0.538243,0.795,-12.94638633,360.9316875,190.6605049,45.69014041,406.6218279,236.3506453
11.85007,7.21214,3560.32,0.623261,0.7618,-13.96154721,328.9086928,177.6643047,60.22274627,389.1314391,237.887051
6.56282,6.27917,1553.7,1.03902,0.6152,-14.9058586,147.008545,84.01616689,52.82344881,199.8319938,136.8396157
9.00116,4.32918,2551.28,0.897328,0.6734,-19.31760078,195.0422083,129.7660897,126.5667748,321.6089831,256.3328645
5.72633,5.3133,918.849,1.03379,0.495,-20.27648839,53.4284742,29.3628073,79.6754806,133.1039548,109.0382879
9.52144,5.9183,2557.99,0.828676,0.6796,-17.89566988,225.1441381,123.0305374,87.9523867,313.0965248,210.9829241
7.27527,4.07821,1911.4,1.03634,0.6072,-23.45215835,93.2008794,51.0402869,167.5812672,260.7821466,218.6215541
7.16113,4.73321,943.517,1.15085,0.5382,-20.88301186,112.5418508,56.75759149,72.34029051,184.8821413,129.097882
6.40025,5.70377,1722.65,1.21508,0.6392,-16.32084365,168.6585086,99.7699647,100.4224142,269.0809228,200.1923789
10.41989,5.8507,3072.5,0.781859,0.7182,-17.40367171,278.8264904,147.3124997,92.50412573,371.3306161,239.8166254
10.54748,5.75428,2845.11,0.825883,0.7048,-17.435496,263.1692161,139.1451151,96.75660723,359.9258233,235.9017223
7.47545,6.2198,7061.42,0.467817,0.7762,-12.90534755,342.8586647,199.1849896,60.67364743,403.5323121,259.858637
10.25531,8.1108,3235.83,0.751133,0.7324,-17.58366244,260.2842269,151.8861762,97.04106685,357.3252937,248.927243
10.53968,7.74023,3335.91,0.687634,0.7586,-15.01798822,305.0982639,170.2559715,69.96580634,375.0640702,240.2217778
4.88713,3.88543,535.129,1.64828,0.4606,-20.01667255,59.68785962,31.43195021,55.14418628,114.8320459,86.57613649
4.75824,3.95303,531.369,1.66268,0.4562,-19.91345104,60.83826204,33.02619947,52.95064816,113.7889102,85.97684763
5.12784,4.01813,630.367,1.59271,0.4816,-19.13628283,71.48986516,32.3323473,53.67291864,125.1627838,86.00526594
5.13844,4.03284,630.232,1.58929,0.4764,-19.0455616,70.78618971,32.75889595,52.88146369,123.6676534,85.64035964
4.92972,3.79229,492.811,1.6758,0.4524,-20.44428734,47.5959533,28.04015269,57.0077641,104.6037174,85.04791679
5.2478,3.97372,609.171,1.59515,0.4788,-19.13397472,75.30214498,32.49091694,51.57643622,126.8785812,84.06735316
4.9438,3.91943,584.311,1.60993,0.4708,-19.23514166,66.19631687,32.86630307,50.94456743,117.1408843,83.8108705
17.44029,16.95439,1675.56,0.753394,0.7098,-12.12442315,272.8995459,129.139114,24.37771926,297.2772652,153.5168333
4.75983,4.08689,602.248,1.55048,0.5034,-24.15342865,117.5571665,52.362726,105.4439333,223.0010998,157.8066593
7.08528,5.06381,1047.21,1.11276,0.533,-20.24635086,73.44180578,44.74135868,93.04430882,166.4861146,137.7856675
5.55487,4.3075,874.522,1.61783,0.6026,-18.29098585,131.0892414,59.78126585,77.13456735,208.2238087,136.9158332
13.98201,13.70774,1697.84,0.861631,0.6828,-22.39860886,228.2690491,122.8311198,68.53103207,296.8000812,191.3621519
9.54888,7.69493,2055.19,0.866747,0.6812,-15.43678045,217.3481158,128.6310411,86.21318563,303.5613014,214.8442267
9.60606,7.73922,2052.45,0.865497,0.6816,-15.02630503,228.5697534,131.9205648,85.39535161,313.965105,217.3159164
