1081,6,1,,,,,,
Number,Filename,PLD,LCD,Density,ASA_m2_cm3,AV_VF,Kr_heat,Kr_M
119,CUCSAU_clean,4.21323,5.5757,0.840322,1200.85,0.5078,-16.19426075,5.19915876
120,CUCTAX_clean,4.0721,4.38086,1.35437,330.655,0.4262,-22.79273364,2.02468194
121,CUFFOZ_clean,5.52998,6.2305,0.917281,2529.25,0.7024,-13.62551392,11.08372896
122,CUGVUW_clean,4.56978,6.46234,1.32198,676.004,0.4376,-16.98447021,2.28890506
123,CUKXOW_clean,4.27142,4.70734,1.65503,1163.02,0.5338,-16.97039916,3.21203634
124,CUMJEB_clean,4.11246,5.10711,2.00854,711.044,0.4216,-18.52983095,1.34427388
125,CUNFOH01_clean,5.76711,8.64942,1.65261,1750.49,0.639,-10.38693599,4.47008086
126,CUNQOT_clean,4.45617,4.94603,1.56048,1158.67,0.5224,-17.45141669,3.08637873
127,CUNQUZ_clean,4.50865,5.05516,1.94091,1202.57,0.5384,-17.6327919,2.50742025
128,CUQKOQ_clean,5.13786,5.93389,1.75724,1823.79,0.6128,-14.9722636,4.38894306
129,CUQRIR_clean,4.57463,5.69204,1.10643,1361.29,0.5686,-17.18017864,5.26055804
130,CURBOH_clean,4.72038,9.52504,1.26402,1793.73,0.654,-12.45573055,6.79651772
131,CUSYAR_clean,12.17996,28.01343,0.247232,1408.41,0.9076,-6.861354337,7.18E+01
132,CUVHIL01_clean,12.02225,12.86501,1.66038,1437.07,0.642,-15.08308542,3.62641001
133,DAMZEZ_clean,4.13045,5.14628,1.48117,701.768,0.4344,-20.19425197,2.00021021
134,DAWBIO_clean,4.59869,5.36745,1.40464,933.9,0.4578,-19.57053502,2.60166903
135,DAWCAH_clean,4.3714,5.49841,1.35332,991.393,0.483,-19.34746275,2.87894496
136,DAWWEF_clean,5.33899,7.03379,1.07778,2082.97,0.6328,-12.49201294,8.66459226
137,DEFKUU_clean,4.54366,5.40643,1.71115,1533.38,0.5346,-16.9359014,3.564919
138,DEJCIF_clean,4.58071,5.07924,1.37299,1275.41,0.5384,-19.04172021,4.16565138
139,DEPXIG_clean,4.42032,5.45833,1.21453,1418.68,0.5298,-17.27699623,5.14495178
140,DEPXOM_clean,4.69467,5.87443,1.07984,2256.84,0.6052,-14.09669844,8.58611706
141,DEQFOU_clean,3.99236,4.43033,1.33979,549.564,0.5546,-17.59442999,5.4648911
142,DIBJEF_clean,4.70814,5.60649,1.76959,946.581,0.4236,-19.00933848,2.32492242
143,DIDBEZ_clean,5.94989,9.17575,0.929043,1495.06,0.5892,-15.41969831,8.41406216
144,DIDDOK_clean,8.17399,9.60031,0.525842,2599.96,0.7878,-10.59908595,2.78E+01
