index,SMILE,FractionCSP3,SMR_VSA7,SlogP_VSA6,IP,HomoLumoGap,MinAbsEStateIndex,SlogP_VSA5,PEOE_VSA11,fr_ester,PEOE_VSA10,LF
94,C(C(F)F)C(F)(F)F,1.0,0.0,0.0,0.448141575,0.43359,2.0069444444444446,6.4208216229260096,0.0,0,6.4208216229260096,0.897627091
95,C(C(F)F)F,1.0,0.0,0.0,0.437768714,0.40601,1.5277777777777777,0.0,6.674590972274908,0,0.0,0.556302501
96,C(C(F)F)O,1.0,0.0,0.0,0.395412296,0.35736,1.0277777777777777,0.0,0.0,0,6.606881964512918,-0.777283529
97,C(C(F)F)OC(C(F)(F)F)(F)F,1.0,0.0,0.0,0.42061607,0.38777,1.9518749999999994,0.0,0.0,0,6.606881964512918,0.826074803
98,C(C(F)F)OC(C(F)F)(F)F,1.0,0.0,0.0,0.412228567,0.38723,1.6970833333333335,0.0,0.0,0,6.606881964512918,0.77815125
99,C(C(F)F)OC(F)(F)F,1.0,0.0,0.0,0.421283431,0.39895,1.59375,0.0,0.0,0,6.606881964512918,0.826074803
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.44160814,0.41661,1.709490740740741,0.0,0.0,0,0.0,1.397940009
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,1.0,0.0,0.0,0.45755003,0.41088,1.685115740740741,0.0,0.0,0,0.0,0.230448921
102,C(C=O)C(F)(F)F,0.6666666666666666,0.0,0.0,0.384324082,0.22868,0.16666666666666696,6.4208216229260096,0.0,0,6.286160523129555,-2.096910013
103,C(CBr)Br,1.0,0.0,0.0,0.36698874,0.2502,1.0486111111111112,0.0,0.0,0,0.0,-0.612610174
104,C(CC(F)(F)F)CO,1.0,0.0,0.0,0.383171433,0.34344,0.19097222222222232,12.841643245852019,0.0,0,0.0,-1.823908741
105,C(CCl)Cl,1.0,0.0,0.0,0.397082481,0.30045,0.5570987654320989,0.0,0.0,0,0.0,-0.647817482
106,C(CF)F,1.0,0.0,0.0,0.435398311,0.39959,0.8472222222222223,0.0,0.0,0,13.349181944549816,-0.326979093
107,C(CF)O,1.0,0.0,0.0,0.385083898,0.35533,0.3472222222222223,0.0,0.0,0,6.674590972274908,-1.356547324
108,C(Cl)(Cl)(Cl)Cl,1.0,0.0,0.0,0.40852219,0.2469,1.6111111111111107,0.0,0.0,0,0.0,1.505149978
109,C(Cl)(Cl)Cl,1.0,0.0,0.0,0.4066057,0.26614,0.7499999999999998,0.0,4.2954515122943855,0,0.0,-0.300162274
110,C(Cl)Br,1.0,0.0,0.0,0.38953315,0.25797,0.5347222222222223,0.0,0.0,0,0.0,-0.344861565
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.37929881,0.30746,1.8231554705215425,6.4208216229260096,0.0,0,0.0,-1.327902142
112,C(CO)C(F)(F)F,1.0,0.0,0.0,0.390538614,0.35691,0.8159722222222223,6.4208216229260096,0.0,0,0.0,-1.387216143
113,C(CO)C(F)(F)F,1.0,0.0,0.0,0.392805693,0.34552,0.8159722222222223,6.4208216229260096,0.0,0,0.0,-1.387216143
114,C(F)(Cl)(Cl)Cl,1.0,0.0,0.0,0.41484832,0.26004,2.583333333333333,0.0,0.0,0,0.0,1.716003344
115,C(F)(Cl)Cl,1.0,0.0,0.0,0.4224273,0.29459,1.722222222222222,0.0,0.0,0,0.0,0.230448921
116,C(F)(F)(Br)Br,1.0,0.0,0.0,0.39051257,0.22834,1.9583333333333333,0.0,0.0,0,0.0,0.397940009
117,C(F)(F)(Cl)Br,1.0,0.0,0.0,0.41649533,0.24998,1.8070987654320987,0.0,0.0,0,0.0,1.204119983
118,C(F)(F)(Cl)Cl,1.0,0.0,0.0,0.43204057,0.29035,3.5555555555555554,0.0,0.0,0,0.0,2.008600172
119,C(F)(F)(F)Br,1.0,0.0,0.0,0.42967108,0.28013,1.375,0.0,0.0,0,0.0,1.857332496
120,C(F)(F)(F)Cl,1.0,0.0,0.0,0.46668444,0.34132,3.530092592592592,0.0,0.0,0,0.0,2.806179974
121,C(F)(F)(F)F,1.0,0.0,0.0,0.552391616,0.60756,5.5,0.0,0.0,0,0.0,4.698970004
122,C(F)(F)(F)S(F)(F)(F)(F)F,1.0,0.0,0.0,0.48719863,0.31006,7.402777777777779,0.0,0.0,0,0.0,2.903089987
123,C(F)(F)Br,1.0,0.0,0.0,0.41649525,0.28107,1.9375,0.0,0.0,0,0.0,0.69019608
124,C(F)(F)Cl,1.0,0.0,0.0,0.450858998,0.33856,2.6944444444444446,0.0,0.0,0,0.0,1.075546961
125,C(F)(F)F,1.0,0.0,0.0,0.513551347,0.50549,3.666666666666667,0.0,0.0,0,0.0,2.357934847
126,C(F)F,1.0,0.0,0.0,0.462914254,0.44412,1.75,0.0,0.0,0,0.0,0.73239376
127,C(OC(C(F)(F)F)C(F)(F)F)F,1.0,0.0,0.0,0.414008661,0.38006,2.1352314814814815,0.0,6.860651313861816,0,0.0,0.278753601
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.42209997,0.40549,1.478236252834467,0.0,0.0,0,0.0,1.42975228
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.42972064,0.40972,1.6733333333333333,0.0,0.0,0,0.0,1.42975228
130,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.44077539,0.42476,1.9245833333333335,0.0,0.0,0,0.0,1.149219113
131,C(OC(F)(F)F)(F)F,1.0,0.0,0.0,0.47727846,0.47323,2.104166666666667,0.0,0.0,0,0.0,2.130333768
132,C(OC(F)F)(F)F,1.0,0.0,0.0,0.46223828,0.46523,2.5833333333333335,0.0,0.0,0,0.0,1.42975228
133,C=C(C(F)(F)F)C(F)(F)F,0.5,12.152040213667764,12.152040213667764,0.420570216,0.27334,1.8472222222222223,0.0,0.0,0,5.573104530069267,-1.552841969
134,C=C(C(F)(F)F)F,0.3333333333333333,12.405809563016664,12.405809563016664,0.395688332,0.27158,2.0347222222222223,0.0,5.826873879418166,0,0.0,-1.48148606
135,C=C(F)F,0.0,12.65957891236556,12.65957891236556,0.374979178,0.28947,1.8333333333333333,0.0,0.0,0,0.0,-1.886056648
136,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.75,12.654955790432378,12.654955790432378,0.38933076,0.27212,1.2889668367346934,0.0,0.0,0,0.0,-1.602059991
137,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.6666666666666666,12.654955790432378,12.654955790432378,0.39444207,0.27227,0.9656249999999997,0.0,0.0,0,0.0,-1.602059991
138,C=CC(C(C(F)(F)F)(F)F)(F)F,0.6,12.654955790432378,12.654955790432378,0.396643015,0.27259,0.7356249999999998,0.0,0.0,0,0.0,-1.602059991
139,C=CC(C(F)(F)F)(F)F,0.5,12.654955790432378,12.654955790432378,0.400060601,0.27422,0.4375,0.0,0.0,0,0.0,-1.602059991
140,C=CC(F)(F)F,0.3333333333333333,12.654955790432378,12.654955790432378,0.403786882,0.27809,0.0625,0.0,0.0,0,0.0,-1.602059991
141,C=CCOC(=O)C(F)(F)F,0.4,12.654955790432378,12.654955790432378,0.366368943,0.24274,0.41831018518518515,0.0,0.0,1,6.606881964512918,-2.522878745
142,C=CF,0.0,12.908725139781279,12.908725139781279,0.374231874,0.28154,0.25,0.0,0.0,0,0.0,-2.15490196
143,C=COC(=O)C(F)(F)F,0.25,12.841016132019288,12.841016132019288,0.368239439,0.22521,0.426412037037037,0.0,0.0,1,0.0,-2.397940009
144,C=COCC(F)(F)F,0.5,12.841016132019288,12.841016132019288,0.33623079,0.26885,0.7574305555555556,0.0,6.606881964512918,0,0.0,-2.0
145,CBr,1.0,0.0,0.0,0.38708764,0.27494,1.8125,0.0,0.0,0,0.0,-0.096910013
146,CC(=O)C(F)(F)F,0.6666666666666666,0.0,0.0,0.385391595,0.22636,0.48611111111111116,6.923737199690624,0.0,0,0.0,-1.853871964
147,CC(C(F)(F)F)(F)F,1.0,0.0,0.0,0.44720753,0.43408,0.1875,6.923737199690624,0.0,0,0.0,1.600972896
148,CC(C)(F)F,1.0,0.0,0.0,0.422796813,0.41703,0.8541666666666667,13.847474399381248,0.0,0,0.0,0.954242509
149,CC(C)Br,1.0,0.0,0.0,0.36951547,0.26734,0.6458333333333333,13.847474399381248,0.0,0,0.0,-1.259637311
150,CC(C)Cl,1.0,0.0,0.0,0.39144981,0.31386,0.3055555555555556,13.847474399381248,0.0,0,0.0,-1.22184875
