index,SMILE,fr_methoxy,EState_VSA2,PEOE_VSA1,SMR_VSA6,Chi3n,MinPartialCharge,SlogP_VSA2,MinAbsPartialCharge,Chi4n,Chi4v,GWP
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0,0.0,0.0,0.0,0.6520152968491693,-0.2228672704969095,16.935097375788107,0.2228672704969095,0.12371791482634839,0.4123930494211613,2.754348336
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,1.5007235420518628,-0.1919601604698603,30.12018453917068,0.1919601604698603,0.5531920813450527,0.5531920813450527,3.964730921
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0,0.0,0.0,0.0,1.1063841626901054,-0.18880756966325,24.197655371076102,0.18880756966325,0.35602239166417443,0.35602239166417443,4.0
44,C(C(C(F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,0.6520152968491693,-0.2031484303687869,18.524272430397243,0.2031484303687869,0.12371791482634839,0.12371791482634839,3.474216264
45,C(C(C(F)(F)F)(F)F)F,0,0.0,0.0,6.674590972274908,0.5825622106533596,-0.24407711579200675,18.773418657812957,0.24407711579200675,0.07576144084141578,0.07576144084141578,3.130333768
46,C(C(C(F)(F)F)(F)F)O,0,0.0,5.106527394840706,6.606881964512918,0.6133114481576812,-0.38972612028425446,23.812237044891674,0.38972612028425446,0.08964214570007951,0.08964214570007951,1.53529412
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0,0.0,0.0,0.0,1.2939443953621006,-0.23677759647796628,30.618476994002112,0.23677759647796628,0.5060465978843802,0.5060465978843802,3.204119983
48,C(C(C(F)(F)F)F)F,0,0.0,0.0,6.674590972274908,0.4906457991025126,-0.24752330382550355,19.022564885228675,0.24752330382550355,0.08748177652797065,0.08748177652797065,2.511883361
49,C(C(C(F)F)(F)F)F,0,0.0,0.0,6.674590972274908,0.49742749916682344,-0.24423139903187885,19.022564885228675,0.24423139903187885,0.05832118435198043,0.05832118435198043,2.895974732
50,C(C(C(F)F)(F)F)O,0,0.0,5.106527394840706,6.606881964512918,0.5300705235815235,-0.3898749005888983,24.06138327230739,0.3293870723971217,0.06900655593423542,0.06900655593423542,1.158362492
