index,SMILE,IP,FractionCSP3,SMR_VSA7,SlogP_VSA6,HomoLumoGap,VSA_EState8,fr_ketone_Topliss,fr_ketone,AvgIpc,EState_VSA6,GWP
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,1.0,0.0,0.0,0.33801,-2.556041666666667,0,0,1.8483335453198617,0.0,1.562292864
40,C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,1.0,0.0,0.0,0.3478,-2.159050925925926,0,0,1.8440159989938614,0.0,1.484299839
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.41301378,1.0,0.0,0.0,0.31399,0.0,0,0,1.6172521756325944,0.0,2.754348336
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.43155834,1.0,0.0,0.0,0.36586,0.0,0,0,1.9839765572031232,0.0,3.964730921
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.45274427,1.0,0.0,0.0,0.39637,0.0,0,0,1.8096798835528565,0.0,4.0
44,C(C(C(F)(F)F)(F)F)(F)F,0.444128271,1.0,0.0,0.0,0.40148,0.0,0,0,1.6172521756325944,0.0,3.474216264
45,C(C(C(F)(F)F)(F)F)F,0.442388325,1.0,0.0,0.0,0.39405,-2.697916666666667,0,0,1.6364527976600283,0.0,3.130333768
46,C(C(C(F)(F)F)(F)F)O,0.402461134,1.0,0.0,0.0,0.3498,-2.197916666666667,0,0,1.6364527976600283,0.0,1.53529412
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,1.0,0.0,0.0,0.37426,0.0,0,0,1.9725948902944757,0.0,3.204119983
48,C(C(C(F)(F)F)F)F,0.441109306,1.0,0.0,0.0,0.38883,-1.9965277777777777,0,0,1.6203352658383443,0.0,2.511883361
49,C(C(C(F)F)(F)F)F,0.425993591,1.0,0.0,0.0,0.38625,-2.300925925925926,0,0,1.6668127273868607,0.0,2.895974732
50,C(C(C(F)F)(F)F)O,0.391070215,1.0,0.0,0.0,0.34576,-1.800925925925926,0,0,1.6668127273868607,0.0,1.158362492
51,C(C(C(F)F)(F)F)OC(F)F,0.41273935,1.0,0.0,0.0,0.38321,-5.428587962962964,0,0,1.835608509851416,0.0,2.684845362
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,1.0,0.0,0.0,0.26619,0.0,0,0,1.253297578463043,0.0,3.550228353
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,1.0,0.0,0.0,0.26783,0.0,0,0,1.253297578463043,0.0,3.59439255
54,C(C(Cl)Cl)(F)F,0.41720555,1.0,0.0,0.0,0.29595,0.0,0,0,1.3609640474436813,0.0,1.847572659
55,C(C(F)(Cl)Cl)(Cl)Cl,0.39143845,1.0,0.0,0.0,0.26726,0.0,0,0,1.3143204867061786,0.0,1.765668555
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,1.0,0.0,0.0,0.28124,0.0,0,0,1.253297578463043,0.0,3.664641976
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,1.0,0.0,0.0,0.29286,0.0,0,0,1.253297578463043,0.0,3.814247596
58,C(C(F)(Cl)Cl)(F)(F)F,0.43024014,1.0,0.0,0.0,0.29392,0.0,0,0,1.253297578463043,0.0,3.870403905
59,C(C(F)(Cl)Cl)(F)Cl,0.40705172,1.0,0.0,0.0,0.28215,0.0,0,0,1.3143204867061786,0.0,2.389166084
60,C(C(F)(Cl)Cl)F,0.41872573,1.0,0.0,0.0,0.29288,-1.3649691358024691,0,0,1.3516441151533922,0.0,2.534026106
61,C(C(F)(F)Br)(F)(F)Br,0.39522931,1.0,0.0,0.0,0.24622,0.0,0,0,1.253297578463043,0.0,3.336459734
62,C(C(F)(F)Cl)(Cl)Cl,0.40670093,1.0,0.0,0.0,0.28432,0.0,0,0,1.3143204867061786,0.0,1.751279104
63,C(C(F)(F)Cl)(F)(F)Cl,0.43310363,1.0,0.0,0.0,0.32408,0.0,0,0,1.253297578463043,0.0,3.974511693
64,C(C(F)(F)Cl)(F)(F)F,0.4565249,1.0,0.0,0.0,0.33644,0.0,0,0,1.253297578463043,0.0,3.982271233
65,C(C(F)(F)Cl)(F)Cl,0.42559675,1.0,0.0,0.0,0.31698,0.0,0,0,1.3143204867061786,0.0,2.596597096
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0.465475764,1.0,0.0,0.0,0.42021,0.0,0,0,1.5812853946781595,0.0,3.968015714
67,C(C(F)(F)F)(C(F)(F)F)F,0.46716158,1.0,0.0,0.0,0.41225,0.0,0,0,1.5894951972794726,0.0,3.556302501
68,C(C(F)(F)F)(Cl)Br,0.40330832,1.0,0.0,0.0,0.25572,0.0,0,0,1.3143204867061786,0.0,1.653212514
69,C(C(F)(F)F)(Cl)Cl,0.42308256,1.0,0.0,0.0,0.29568,0.0,0,0,1.3143204867061786,0.0,1.95616843
70,C(C(F)(F)F)(F)(F)F,0.494092245,1.0,0.0,0.0,0.47485,0.0,0,0,1.253297578463043,0.0,4.093421685
71,C(C(F)(F)F)(F)Br,0.41074817,1.0,0.0,0.0,0.27328,0.0,0,0,1.3143204867061786,15.929943897949348,2.303196057
72,C(C(F)(F)F)(F)Cl,0.434961906,1.0,0.0,0.0,0.32506,0.0,0,0,1.3143204867061786,0.0,2.775974331
73,C(C(F)(F)F)(F)F,0.466143167,1.0,0.0,0.0,0.43772,0.0,0,0,1.3143204867061786,0.0,3.572871602
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,1.0,0.0,0.0,0.41176,0.0,0,0,1.980691454762246,4.736862953800049,3.821513528
75,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,1.0,0.0,0.0,0.44026,0.0,0,0,1.564517736154244,0.0,3.876217841
76,C(C(F)(F)F)(OC(F)F)F,0.449640889,1.0,0.0,0.0,0.43354,-3.7531250000000007,0,0,1.6021581478790754,0.0,3.413299764
77,C(C(F)(F)F)Br,0.40375793,1.0,0.0,0.0,0.27033,0.0,0,0,1.3516441151533922,0.0,2.247973266
78,C(C(F)(F)F)C(F)(F)F,0.475636481,1.0,0.0,0.0,0.46237,0.0,0,0,1.1431558784658322,0.0,3.939019776
79,C(C(F)(F)F)Cl,0.431566028,1.0,0.0,0.0,0.31956,0.0,0,0,1.3516441151533922,0.0,2.588831726
80,C(C(F)(F)F)F,0.465805406,1.0,0.0,0.0,0.42813,-2.2291666666666665,0,0,1.3516441151533922,0.0,3.184691431
81,C(C(F)(F)F)O,0.41202365,1.0,0.0,0.0,0.36098,-1.7291666666666665,0,0,1.3516441151533922,0.0,1.552668216
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.44815765,1.0,0.0,0.0,0.40703,-2.6532638888888886,0,0,1.794561384057248,0.0,3.017033339
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.434114265,1.0,0.0,0.0,0.40175,-2.398472222222222,0,0,1.8206843007450695,0.0,2.991226076
84,C(C(F)(F)F)OC(F)(F)F,0.450522174,1.0,0.0,0.0,0.4162,-2.295138888888889,0,0,1.5730118671551043,0.0,3.041392685
85,C(C(F)(F)F)OC(F)F,0.434837613,1.0,0.0,0.0,0.41141,-5.253125000000001,0,0,1.5938548967005406,0.0,2.943494516
86,C(C(F)(F)F)OC=O,0.41206806,0.6666666666666666,0.0,0.0,0.29053,-1.7460416666666663,0,0,1.5920001314822056,0.0,1.738780558
87,C(C(F)(F)F)OCC(F)(F)F,0.390384198,1.0,0.0,0.0,0.35659,-3.737083333333333,0,0,1.5536739848063479,0.0,1.387389826
88,C(C(F)Cl)(F)Cl,0.41812027,1.0,0.0,0.0,0.31375,0.0,0,0,1.3609640474436813,0.0,2.086359831
89,C(C(F)Cl)Cl,0.40263497,1.0,0.0,0.0,0.29848,0.0,0,0,1.3787834934861756,0.0,1.668385917
90,C(C(F)F)(C(F)(F)F)F,0.446135934,1.0,0.0,0.0,0.39126,0.0,0,0,1.6151713102472967,0.0,3.176091259
91,C(C(F)F)(C(F)F)F,0.425523876,1.0,0.0,0.0,0.38037,0.0,0,0,1.6403360647604435,0.0,2.40654018
92,C(C(F)F)(F)F,0.44230689,1.0,0.0,0.0,0.41552,0.0,0,0,1.3609640474436813,0.0,3.100370545
93,C(C(F)F)(OC(F)(F)F)F,0.443660829,1.0,0.0,0.0,0.41983,0.0,0,0,1.5998182365478808,0.0,3.100370545
94,C(C(F)F)C(F)(F)F,0.448141575,1.0,0.0,0.0,0.43359,0.0,0,0,1.210810026106033,0.0,2.983175072
95,C(C(F)F)F,0.437768714,1.0,0.0,0.0,0.40601,-1.5277777777777777,0,0,1.3787834934861756,0.0,2.561101384
96,C(C(F)F)O,0.395412296,1.0,0.0,0.0,0.35736,-1.0277777777777777,0,0,1.3787834934861756,0.0,0.790988475
97,C(C(F)F)OC(C(F)(F)F)(F)F,0.42061607,1.0,0.0,0.0,0.38777,-1.9518749999999994,0,0,1.8103648120146445,0.0,2.983626287
98,C(C(F)F)OC(C(F)F)(F)F,0.412228567,1.0,0.0,0.0,0.38723,-1.6970833333333335,0,0,1.835608509851416,0.0,2.919601024
99,C(C(F)F)OC(F)(F)F,0.421283431,1.0,0.0,0.0,0.39895,-1.59375,0,0,1.5938548967005406,0.0,2.970346876
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0.44160814,1.0,0.0,0.0,0.41661,0.0,0,0,1.804942365268649,4.736862953800049,3.57634135
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.45755003,1.0,0.0,0.0,0.41088,0.0,0,0,1.7752687214913971,4.736862953800049,3.64246452
102,C(C=O)C(F)(F)F,0.384324082,0.6666666666666666,0.0,0.0,0.22868,0.0,0,0,1.2958363892911637,0.0,-1.602059991
103,C(CBr)Br,0.36698874,1.0,0.0,0.0,0.2502,0.0,0,0,1.370950594454669,0.0,0.008600172
104,C(CC(F)(F)F)CO,0.383171433,1.0,0.0,0.0,0.34344,-0.389375,0,0,1.5920001314822056,0.0,-1.30980392
105,C(CCl)Cl,0.397082481,1.0,0.0,0.0,0.30045,0.0,0,0,1.370950594454669,0.0,0.113943352
106,C(CF)F,0.435398311,1.0,0.0,0.0,0.39959,-1.6944444444444446,0,0,1.370950594454669,0.0,1.33243846
107,C(CF)O,0.385083898,1.0,0.0,0.0,0.35533,-0.9722222222222223,0,0,1.370950594454669,0.0,-0.27572413
108,C(Cl)(Cl)(Cl)Cl,0.40852219,1.0,0.0,0.0,0.2469,0.0,0,0,0.7219280948873623,0.0,3.342422681
109,C(Cl)(Cl)Cl,0.4066057,1.0,0.0,0.0,0.26614,0.0,0,0,0.8112781244591328,0.0,1.31386722
110,C(Cl)Br,0.38953315,1.0,0.0,0.0,0.25797,0.0,0,0,0.9182958340544894,0.0,0.675778342
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37929881,1.0,0.0,0.0,0.30746,-1.8231554705215425,0,0,2.141915955727942,0.0,-0.273272791
112,C(CO)C(F)(F)F,0.390538614,1.0,0.0,0.0,0.35691,-0.8159722222222223,0,0,1.2958363892911637,0.0,-0.207608311
113,C(CO)C(F)(F)F,0.392805693,1.0,0.0,0.0,0.34552,-0.8159722222222223,0,0,1.2958363892911637,0.0,-0.207608311
114,C(F)(Cl)(Cl)Cl,0.41484832,1.0,0.0,0.0,0.26004,0.0,0,0,0.7219280948873623,0.0,3.794488047
115,C(F)(Cl)Cl,0.4224273,1.0,0.0,0.0,0.29459,0.0,0,0,0.8112781244591328,0.0,2.204119983
116,C(F)(F)(Br)Br,0.39051257,1.0,0.0,0.0,0.22834,0.0,0,0,0.7219280948873623,0.0,2.334453751
117,C(F)(F)(Cl)Br,0.41649533,1.0,0.0,0.0,0.24998,0.0,0,0,0.7219280948873623,0.0,3.285557309
118,C(F)(F)(Cl)Cl,0.43204057,1.0,0.0,0.0,0.29035,0.0,0,0,0.7219280948873623,0.0,4.096910013
119,C(F)(F)(F)Br,0.42967108,1.0,0.0,0.0,0.28013,0.0,0,0,0.7219280948873623,0.0,3.857332496
120,C(F)(F)(F)Cl,0.46668444,1.0,0.0,0.0,0.34132,0.0,0,0,0.7219280948873623,0.0,4.209515015
121,C(F)(F)(F)F,0.552391616,1.0,0.0,0.0,0.60756,0.0,0,0,0.7219280948873623,0.0,3.868056362
122,C(F)(F)(F)S(F)(F)(F)(F)F,0.48719863,1.0,0.0,0.0,0.31006,0.0,0,0,1.1585488318903812,0.0,4.267171728
123,C(F)(F)Br,0.41649525,1.0,0.0,0.0,0.28107,0.0,0,0,0.8112781244591328,0.0,2.579783597
124,C(F)(F)Cl,0.450858998,1.0,0.0,0.0,0.33856,0.0,0,0,0.8112781244591328,0.0,3.292256071
125,C(F)(F)F,0.513551347,1.0,0.0,0.0,0.50549,-3.666666666666667,0,0,0.8112781244591328,0.0,4.164352856
126,C(F)F,0.462914254,1.0,0.0,0.0,0.44412,-1.75,0,0,0.9182958340544894,0.0,2.887054378
127,C(OC(C(F)(F)F)C(F)(F)F)F,0.414008661,1.0,0.0,0.0,0.38006,-2.1352314814814815,0,0,1.7664232982979893,0.0,2.290034611
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.42209997,1.0,0.0,0.0,0.40549,-9.65855817267621,0,0,2.3110553371300377,0.0,3.728353782
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.42972064,1.0,0.0,0.0,0.40972,-9.248293178382465,0,0,2.093844344474014,4.736862953800049,3.758154622
130,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F,0.44077539,1.0,0.0,0.0,0.42476,-8.805968390442597,0,0,1.934990617015695,0.0,3.507855872
131,C(OC(F)(F)F)(F)F,0.47727846,1.0,0.0,0.0,0.47323,-3.7824074074074083,0,0,1.210810026106033,0.0,4.155336037
132,C(OC(F)F)(F)F,0.46223828,1.0,0.0,0.0,0.46523,-6.750000000000002,0,0,1.272905595320056,0.0,3.821513528
133,C=C(C(F)(F)F)C(F)(F)F,0.420570216,0.5,12.152040213667764,12.152040213667764,0.27334,1.8472222222222223,0,0,1.5894951972794726,0.0,-0.42365865
134,C=C(C(F)(F)F)F,0.395688332,0.3333333333333333,12.405809563016664,12.405809563016664,0.27158,2.0347222222222223,0,0,1.3143204867061786,0.0,-0.300162274
135,C=C(F)F,0.374979178,0.0,12.65957891236556,12.65957891236556,0.28947,2.2222222222222223,0,0,0.8112781244591328,0.0,-1.283996656
136,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.38933076,0.75,12.654955790432378,12.654955790432378,0.27212,1.887193995653817,0,0,2.257924097331966,0.0,-0.790484985
137,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.39444207,0.6666666666666666,12.654955790432378,12.654955790432378,0.27227,2.063530328798186,0,0,2.0119671581158425,0.0,-0.690369833
138,C=CC(C(C(F)(F)F)(F)F)(F)F,0.396643015,0.6,12.654955790432378,12.654955790432378,0.27259,2.1821527777777776,0,0,1.8483335453198617,0.0,-0.628932138
139,C=CC(C(F)(F)F)(F)F,0.400060601,0.5,12.654955790432378,12.654955790432378,0.27422,2.328819444444444,0,0,1.6364527976600283,0.0,-0.739928612
140,C=CC(F)(F)F,0.403786882,0.3333333333333333,12.654955790432378,12.654955790432378,0.27809,2.5069444444444446,0,0,1.3516441151533922,0.0,-0.583359493
141,C=CCOC(=O)C(F)(F)F,0.366368943,0.4,12.654955790432378,12.654955790432378,0.24274,2.651817365835223,0,0,1.8019799364419475,0.0,-2.15490196
142,C=CF,0.374231874,0.0,12.908725139781279,12.908725139781279,0.28154,2.6944444444444446,0,0,0.9182958340544894,0.0,-1.619788758
143,C=COC(=O)C(F)(F)F,0.368239439,0.25,12.841016132019288,12.841016132019288,0.22521,2.7711111111111113,0,0,1.6431060651096356,0.0,-2.096910013
144,C=COCC(F)(F)F,0.33623079,0.5,12.841016132019288,12.841016132019288,0.26885,1.6880555555555556,0,0,1.5920001314822056,0.0,-1.236572006
145,CBr,0.38708764,1.0,0.0,0.0,0.27494,0.0,0,0,1.0,0.0,0.385606274
146,CC(=O)C(F)(F)F,0.385391595,0.6666666666666666,0.0,0.0,0.22636,0.48611111111111116,1,1,1.3143204867061786,0.0,-1.045757491
147,CC(C(F)(F)F)(F)F,0.44720753,1.0,0.0,0.0,0.43408,-0.1875,0,0,1.253297578463043,0.0,3.658011397
148,CC(C)(F)F,0.422796813,1.0,0.0,0.0,0.41703,1.7083333333333335,0,0,0.7219280948873623,0.0,2.777426822
149,CC(C)Br,0.36951547,1.0,0.0,0.0,0.26734,4.166666666666667,0,0,0.8112781244591328,0.0,-0.899629455
150,CC(C)Cl,0.39144981,1.0,0.0,0.0,0.31386,3.864197530864198,0,0,0.8112781244591328,0.0,-0.742321425
151,CC(CC(F)(F)F)(F)F,0.433993344,1.0,0.0,0.0,0.41863,0.23659722222222257,0,0,1.1431558784658322,0.0,2.960946196
152,CC(Cl)(Cl)Cl,0.39595577,1.0,0.0,0.0,0.26298,1.4837962962962963,0,0,0.7219280948873623,0.0,2.206825876
153,CC(F)(F)Cl,0.436173907,1.0,0.0,0.0,0.32984,0.6195987654320989,0,0,0.7219280948873623,0.0,3.361727836
154,CC(F)(F)F,0.482135692,1.0,0.0,0.0,0.48056,0.1875,0,0,0.7219280948873623,0.0,3.764176132
155,CC(F)F,0.440398492,1.0,0.0,0.0,0.43548,0.8333333333333335,0,0,0.8112781244591328,0.0,2.214843848
156,CCBr,0.37702165,1.0,0.0,0.0,0.2721,2.0416666666666665,0,0,0.9182958340544894,0.0,-0.312471039
157,CCC(=O)C(F)(F)F,0.377949624,0.75,0.0,0.0,0.22668,1.176412037037037,1,1,1.6203352658383443,0.0,-1.022276395
158,CCC(F)(F)F,0.450925692,1.0,0.0,0.0,0.44822,1.0833333333333333,0,0,1.3516441151533922,0.0,1.873901598
159,CCCBr,0.37396719,1.0,0.0,0.0,0.27139,2.1336805555555554,0,0,1.370950594454669,0.0,-1.283996656
160,CCCCCl,0.390299252,1.0,0.0,0.0,0.31668,2.127361111111111,0,0,1.4056390622295665,0.0,-2.15490196
161,CCCl,0.400733681,1.0,0.0,0.0,0.31872,1.8904320987654322,0,0,0.9182958340544894,0.0,-0.317854924
162,CCF,0.433784461,1.0,0.0,0.0,0.42342,1.2083333333333335,0,0,0.9182958340544894,0.0,0.684845362
