index,SMILE,IP,MinAbsEStateIndex,FpDensityMorgan3,BCUT2D_MWHI,FractionCSP3,Chi2v,FpDensityMorgan2,HomoLumoGap,AvgIpc,SlogP_VSA6,LF
40,C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,2.159050925925926,1.5454545454545454,19.418493783461322,1.0,1.8233137389904406,1.4545454545454546,0.3478,1.8440159989938614,0.0,-0.435333936
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.41301378,3.4861111111111116,1.4,35.497015212575704,1.0,2.279293466852799,1.4,0.31399,1.6172521756325944,0.0,0.770852012
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.43155834,7.258749999999999,0.5882352941176471,19.441949650795227,1.0,2.7186972713986655,0.47058823529411764,0.36586,1.9839765572031232,0.0,3.612783857
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.45274427,6.966249999999999,0.5714285714285714,19.44412335407396,1.0,2.1443042269608665,0.5,0.39637,1.8096798835528565,0.0,3.414973348
44,C(C(C(F)(F)F)(F)F)(F)F,0.444128271,4.70138888888889,1.1,19.431442775333625,1.0,1.4214218346294432,1.1,0.40148,1.6172521756325944,0.0,1.477121255
45,C(C(C(F)(F)F)(F)F)F,0.442388325,2.697916666666667,1.2222222222222223,19.42927599565634,1.0,1.335838435141093,1.2222222222222223,0.39405,1.6364527976600283,0.0,1.127104798
46,C(C(C(F)(F)F)(F)F)O,0.402461134,2.197916666666667,1.3333333333333333,19.42858370367057,1.0,1.3603216971932997,1.3333333333333333,0.3498,1.6364527976600283,0.0,-0.326979093
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,4.894328703703705,1.1333333333333333,19.431932286827323,1.0,2.465865423057733,0.9333333333333333,0.37426,1.9725948902944757,0.0,1.230448921
48,C(C(C(F)(F)F)F)F,0.441109306,1.9965277777777777,1.625,19.417540096842945,1.0,1.1634523399138141,1.625,0.38883,1.6203352658383443,0.0,0.505149978
49,C(C(C(F)F)(F)F)F,0.425993591,2.300925925925926,1.625,19.325492772257395,1.0,1.1953589698853564,1.625,0.38625,1.6668127273868607,0.0,0.819543936
50,C(C(C(F)F)(F)F)O,0.391070215,1.800925925925926,1.75,19.322411746323528,1.0,1.2198422319375632,1.75,0.34576,1.6668127273868607,0.0,-0.59345982
51,C(C(C(F)F)(F)F)OC(F)F,0.41273935,1.9699074074074074,1.8181818181818181,19.323154018926374,1.0,1.6333853540523997,1.5454545454545454,0.38321,1.835608509851416,0.0,0.544068044
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,2.713734567901234,1.0,35.582804554548886,1.0,3.751447084103724,1.0,0.26619,1.253297578463043,0.0,1.716003344
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,3.145833333333333,1.0,35.582517234286854,1.0,3.276750561884825,1.0,0.26783,1.253297578463043,0.0,1.740362689
54,C(C(Cl)Cl)(F)F,0.41720555,1.5370370370370374,1.3333333333333333,35.539167689093674,1.0,1.8326913602002621,1.3333333333333333,0.29595,1.3609640474436813,0.0,0.049218023
55,C(C(F)(Cl)Cl)(Cl)Cl,0.39143845,1.3927469135802475,1.4285714285714286,35.54506406456512,1.0,3.2321523469206124,1.4285714285714286,0.26726,1.3143204867061786,0.0,0.045322979
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,3.2538580246913575,0.875,35.545193284219664,1.0,3.465732798389438,0.875,0.28124,1.253297578463043,0.0,1.803457116
