index,SMILE,IP,FractionCSP3,SMR_VSA7,SlogP_VSA6,HomoLumoGap,MinAbsEStateIndex,FpDensityMorgan3,PEOE_VSA12,FpDensityMorgan2,FpDensityMorgan1,LF
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.42209997,1.0,0.0,0.0,0.40549,1.478236252834467,0.7142857142857143,0.0,0.5357142857142857,0.35714285714285715,1.42975228
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.42972064,1.0,0.0,0.0,0.40972,1.6733333333333333,0.9047619047619048,0.0,0.7142857142857143,0.47619047619047616,1.42975228
130,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F,0.44077539,1.0,0.0,0.0,0.42476,1.9245833333333335,1.3333333333333333,0.0,1.0,0.6111111111111112,1.149219113
131,C(OC(F)(F)F)(F)F,0.47727846,1.0,0.0,0.0,0.47323,2.104166666666667,1.5,0.0,1.5,1.125,2.130333768
132,C(OC(F)F)(F)F,0.46223828,1.0,0.0,0.0,0.46523,2.5833333333333335,1.1428571428571428,0.0,1.1428571428571428,0.8571428571428571,1.42975228
133,C=C(C(F)(F)F)C(F)(F)F,0.420570216,0.5,12.152040213667764,12.152040213667764,0.27334,1.8472222222222223,1.0,0.0,1.0,0.8,-1.552841969
134,C=C(C(F)(F)F)F,0.395688332,0.3333333333333333,12.405809563016664,12.405809563016664,0.27158,2.0347222222222223,1.4285714285714286,0.0,1.4285714285714286,1.2857142857142858,-1.48148606
135,C=C(F)F,0.374979178,0.0,12.65957891236556,12.65957891236556,0.28947,1.8333333333333333,1.5,0.0,1.5,1.5,-1.886056648
136,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.38933076,0.75,12.654955790432378,12.654955790432378,0.27212,1.2889668367346934,1.0,0.0,0.7619047619047619,0.47619047619047616,-1.602059991
137,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.39444207,0.6666666666666666,12.654955790432378,12.654955790432378,0.27227,0.9656249999999997,1.2,0.0,1.0,0.6666666666666666,-1.602059991
138,C=CC(C(C(F)(F)F)(F)F)(F)F,0.396643015,0.6,12.654955790432378,12.654955790432378,0.27259,0.7356249999999998,1.25,0.0,1.1666666666666667,0.8333333333333334,-1.602059991
139,C=CC(C(F)(F)F)(F)F,0.400060601,0.5,12.654955790432378,12.654955790432378,0.27422,0.4375,1.3333333333333333,0.0,1.3333333333333333,1.0,-1.602059991
140,C=CC(F)(F)F,0.403786882,0.3333333333333333,12.654955790432378,12.654955790432378,0.27809,0.0625,1.5,0.0,1.5,1.3333333333333333,-1.602059991
141,C=CCOC(=O)C(F)(F)F,0.366368943,0.4,12.654955790432378,12.654955790432378,0.24274,0.41831018518518515,2.4,0.0,2.1,1.6,-2.522878745
142,C=CF,0.374231874,0.0,12.908725139781279,12.908725139781279,0.28154,0.25,2.0,0.0,2.0,2.0,-2.15490196
143,C=COC(=O)C(F)(F)F,0.368239439,0.25,12.841016132019288,12.841016132019288,0.22521,0.426412037037037,2.111111111111111,0.0,2.0,1.5555555555555556,-2.397940009
144,C=COCC(F)(F)F,0.33623079,0.5,12.841016132019288,12.841016132019288,0.26885,0.7574305555555556,2.125,0.0,2.0,1.5,-2.0
145,CBr,0.38708764,1.0,0.0,0.0,0.27494,1.8125,1.5,0.0,1.5,1.5,-0.096910013
146,CC(=O)C(F)(F)F,0.385391595,0.6666666666666666,0.0,0.0,0.22636,0.48611111111111116,1.5714285714285714,5.783244946364939,1.5714285714285714,1.4285714285714286,-1.853871964
147,CC(C(F)(F)F)(F)F,0.44720753,1.0,0.0,0.0,0.43408,0.1875,1.0,0.0,1.0,0.875,1.600972896
148,CC(C)(F)F,0.422796813,1.0,0.0,0.0,0.41703,0.8541666666666667,1.2,5.922529168094576,1.2,1.2,0.954242509
149,CC(C)Br,0.36951547,1.0,0.0,0.0,0.26734,0.6458333333333333,1.5,0.0,1.5,1.5,-1.259637311
