SMILE,LF,GWP,IP,EA,HomoLumoGap
CC(F)(F)F,1.707570176,3.764176132,0.482135692,-0.188740591,0.48056
CC(F)F,0.204119983,2.214843848,0.440398492,-0.184950293,0.43548
CCBr,-0.863279433,-0.312471039,0.37702165,-0.09448093,0.2721
CCC(=O)C(F)(F)F,-1.744727495,-1.022276395,0.377949624,-0.04552587,0.22668
CCC(F)(F)F,0.041392685,1.873901598,0.450925692,-0.167247538,0.44822
CCCBr  ,-1.387216143,-1.283996656,0.37396719,-0.08854128,0.27139
CCCCCl ,-1.920818754,-2.15490196,0.390299252,-0.110923528,0.31668
CCCl ,-0.879426069,-0.317854924,0.400733681,-0.118569972,0.31872
CCF,-0.659555885,0.684845362,0.433784461,-0.179827361,0.42342
CCl ,-0.045757491,0.743509765,0.414108329,-0.122852815,0.32194
CCOC(=O)C(F)(F)F,-1.22184875,0.198657087,0.39964439,-0.06849078,0.27347
CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.096910013,1.783188691,0.41007766,-0.12184258,0.37148
CCOC(C(C(F)(F)F)(C(F)(F)F)F)(F)F  ,-0.200659451,1.53529412,0.41554179,-0.11167711,0.35809
CCOC(C(C(F)(F)F)F)(F)F,-0.394694954,1.421603927,0.408771564,-0.13698686,0.37146
CCOC(C(F)F)(F)F,-0.681936665,1.096910013,0.406165483,-0.155236286,0.3979
CCOC(F)(F)F,-0.401209493,1.465382851,0.41660236,-0.168988235,0.41302
CF ,0.447158031,2.130333768,0.467051091,-0.195219531,0.43841
COC(=O)C(F)(F)F,0,1.915399835,0.407841876,-0.068988871,0.27392
COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.681241237,2.7355989,0.41636913,-0.12102041,0.37476
COC(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F  ,0.719331287,2.607455023,0.39501384,-0.08203205,0.32127
COC(C(C(F)(F)F)(C(F)(F)F)F)(F)F,0.681241237,2.640481437,0.42672527,-0.11101518,0.36263
COC(C(C(F)(F)F)(F)F)(F)F,0.707570176,2.760422483,0.425652853,-0.139499737,0.39037
COC(C(C(F)(F)F)F)(F)F,0.397940009,2.421603927,0.419893223,-0.137891143,0.37654
COC(C(C(F)F)(F)F)(F)F,0.397940009,2.442479769,0.411710977,-0.141663139,0.38593
