atom,ddec,,atom1,gcn1,ddec1
H,0.076632,,H,0.105165,0.119507141
H,0.084786,,H,0.120225,0.119507141
H,0.081496,,H,0.078683,0.081855335
H,0.127065,,H,0.076074,0.069507048
H,0.090139,,H,0.108517,0.119507141
H,0.134315,,H,0.121736,0.126381859
H,0.128157,,H,0.078612,0.081855335
H,0.075917,,H,0.075837,0.069507048
H,0.122792,,H,0.111543,0.119507141
H,0.129219,,H,0.119823,0.126381859
H,0.089284,,H,0.079329,0.081855335
H,0.138251,,H,0.076684,0.069507048
H,0.130187,,H,0.106466,0.119507141
H,0.116554,,H,0.117915,0.119507141
H,0.116146,,H,0.080758,0.081855335
H,0.118072,,H,0.081947,0.081855335
H,0.109379,,H,0.103776,0.119507141
H,0.073415,,H,0.119648,0.126381859
H,0.063979,,H,0.076668,0.081855335
H,0.066697,,H,0.078048,0.069507048
H,0.068516,,H,0.105865,0.119507141
H,0.080663,,H,0.120525,0.126381859
H,0.08646,,H,0.080613,0.081855335
H,0.063901,,H,0.079263,0.069507048
H,0.063881,,H,0.105204,0.119507141
H,0.086058,,H,0.120718,0.126381859
H,0.086541,,H,0.080164,0.081855335
H,0.114503,,H,0.076982,0.069507048
H,0.068129,,H,0.107872,0.119507141
H,0.06697,,H,0.119042,0.119507141
H,0.108002,,H,0.080604,0.081855335
H,0.077547,,H,0.07823,0.069507048
H,0.071105,,H,0.10482,0.119507141
H,0.067452,,H,0.119937,0.126381859
H,0.068591,,H,0.079088,0.081855335
H,0.122728,,H,0.076894,0.069507048
H,0.089292,,H,0.107878,0.119507141
H,0.084284,,H,0.118928,0.119507141
H,0.113314,,H,0.08113,0.081855335
H,0.072506,,H,0.0776,0.069507048
H,0.089317,,H,0.107574,0.119507141
N,-0.354545,,N,-0.23075195,-0.229756966
N,-0.081957,,N,-0.2252816,-0.223078091
N,-0.085494,,N,-0.23491213,-0.229756966
N,-0.085238,,N,-0.22654806,-0.223078091
N,-0.094815,,N,-0.22563222,-0.223078091
N,-0.090374,,N,-0.22929367,-0.229756966
N,-0.09292,,N,-0.22594522,-0.223078091
N,-0.092927,,N,-0.2360274,-0.229756966
N,-0.099165,,N,-0.42865768,-0.39293927
N,-0.106665,,N,-0.42727876,-0.377628788
N,-0.114723,,N,-0.4358081,-0.40027073
N,-0.102407,,N,-0.4289567,-0.40027073
N,-0.394634,,N,-0.4389844,-0.457779139
N,-0.119645,,N,-0.45755985,-0.480177194
N,-0.106822,,N,-0.43378863,-0.40027073
N,-0.117765,,N,-0.41845515,-0.377628788
N,-0.391586,,N,-0.41288963,-0.422375083
N,-0.395833,,N,-0.38466492,-0.39293927
N,-0.116508,,N,-0.4140452,-0.440247595
N,-0.393094,,N,-0.43245435,-0.409277539
N,-0.395128,,N,-0.43472105,-0.409277539
N,-0.398606,,N,-0.41319564,-0.409277539
N,-0.400502,,N,-0.44378847,-0.468498796
N,-0.128846,,N,-0.44680473,-0.480177194
N,-0.411495,,N,-0.245166,-0.232713822
N,-0.406487,,N,-0.193872,-0.191869117
N,-0.40939,,N,-0.249221,-0.23618336
N,-0.41146,,N,-0.200339,-0.191869117
N,-0.406798,,N,-0.244162,-0.232713822
N,-0.416451,,N,-0.196113,-0.191869117
N,-0.219379,,N,-0.247047,-0.232713822
N,-0.221544,,N,-0.196733,-0.191869117
N,-0.425939,,N,-0.24179,-0.232713822
N,-0.236052,,N,-0.19366,-0.191869117
N,-0.205384,,N,-0.242519,-0.232713822
N,-0.22587,,N,-0.1963,-0.191869117
N,-0.22109,,N,-0.246451,-0.232713822
N,-0.228009,,N,-0.200475,-0.191869117
N,-0.222581,,N,-0.244265,-0.23618336
N,-0.228323,,N,-0.198771,-0.191869117
N,-0.232411,,N,-0.244395,-0.232713822
N,-0.211176,,N,-0.198063,-0.191869117
N,-0.206667,,N,-0.241301,-0.232713822
N,-0.204416,,N,-0.195221,-0.191869117
N,-0.223536,,N,-0.251056,-0.232713822
N,-0.228279,,N,-0.199892,-0.191869117
