struc_name,E_LJ_single,E_LJ_two
type2_45,-0.580032356813831,-0.5542962971794623
type2_46,-0.5342173722596044,-0.5092320292213799
type2_47,-0.49279996591803865,-0.4685381769998571
type2_48,-0.4552863449782194,-0.43172241695941693
type2_49,-0.4212459240579278,-0.3983554989433742
type2_50,-0.39030227265971007,-0.3680622103222504
type2_51,-0.3621254929105362,-0.34051376812459466
type2_52,-0.33642578102603693,-0.3154213929273624
type2_53,-0.31294797189946166,-0.29253086418083285
type2_54,-0.2914669029840411,-0.2716178933727633
type2_55,-0.2717834631669689,-0.2524841809309919
type2_56,-0.25372121614719845,-0.23495404655545826
type2_57,-0.2371235071155411,-0.2188715419221694
type2_58,-0.22185097719534497,-0.20409797035262045
type2_59,-0.20777942288418672,-0.190509750796366
type2_60,-0.1947979481911375,-0.17799657391799428
type3_15,-27.26039494229758,-27.236167563334448
type3_16,-22.143965621152347,-22.1368564605026
type3_17,-18.144694827728244,-18.15194707962098
type3_18,-14.982361571721981,-15.001423925985137
type3_19,-12.456484496280382,-12.485035297431637
type3_20,-10.420972989641541,-10.456929679164773
type3_21,-8.767627022722763,-8.809144873208538
type3_22,-7.415149224153538,-7.460612675979405
type3_23,-6.301673026658591,-6.349682243221309
type3_24,-5.37958337214252,-5.428938002738505
type3_25,-4.611863022859552,-4.6615446317518945
type3_26,-3.969473533452174,-4.018627725321721
type3_27,-3.4294503785602046,-3.4773693174932987
type3_28,-2.9734990999750153,-3.0196048683968684
type3_29,-2.586948259318433,-2.63077732000977
type3_30,-2.2579600191269265,-2.2991489133866025
type3_31,-1.9769291052132303,-2.015201430797333
type3_32,-1.7360211138487216,-1.7711757671077635
type3_33,-1.5288149822587798,-1.5607156116155352
type3_34,-1.350024074625992,-1.3785896707747156
type3_35,-1.1952771240506195,-1.2204736612188753
type3_36,-1.060945113968387,-1.0827781527179923
type3_37,-0.9440036779077445,-0.9625118407282116
type3_38,-0.8419231463897177,-0.8571723809589571
type3_39,-0.75258024848074,-0.7646587987147768
type3_40,-0.6741868724343476,-0.6832008834679755
type3_41,-0.6052323373585295,-0.6113020268742844
type3_42,-0.5444364194844411,-0.5476927539895655
type3_43,-0.4907109792219444,-0.49129279975846885
type3_44,-0.44312849697365664,-0.4411800442389904
type3_45,-0.4008961817614818,-0.3965649756601124
type3_46,-0.3633345928669769,-0.35676962610813234
type3_47,-0.32985993002006353,-0.3212101395279774
type3_48,-0.2999693164088626,-0.28938230006241383
type3_49,-0.2732285316561729,-0.26084948124037055
type3_50,-0.249261756991757,-0.2352325812742606
type3_51,-0.2277429783188154,-0.2122015928886185
type3_52,-0.20838875942769164,-0.19146852238168321
type3_53,-0.19095215089305384,-0.17278142566158294
type3_54,-0.17521754299389158,-0.15591937158382052
type3_55,-0.16099630550246502,-0.14068817722750282
type3_56,-0.14812308510266803,-0.1269167874900745
type3_57,-0.13645265385076755,-0.11445419387081301
type3_58,-0.12585722052523352,-0.1031668056114654
type3_59,-0.11622413176621649,-0.0929362012862498
type3_60,-0.10745390223098639,-0.08365720114073838
type4_15,30.87341000193055,30.352362790195457
type4_16,27.83442443072113,27.251182155096785
type4_17,25.05240744997991,24.428011086309994
type4_18,22.488447062685054,21.841763265192867
type4_19,20.12517476922426,19.472263648211992
type4_20,17.955214921686093,17.309164881542983
type4_21,15.974332137380316,15.345423660656593
type4_22,14.17782764797414,13.573890940877845
type4_23,12.559026033296618,11.985882163620317
type4_24,11.108991715750562,10.570899014714428
type4_25,9.816880718966218,9.316938549503448
type4_26,8.670547792300226,8.211033863425087
type4_27,7.657187700527857,7.2398218816905455
type4_28,6.763897844186772,6.390035737024959
type4_29,5.978117630662041,5.648882550371809
type4_30,5.287939172772894,5.004303278366251
type4_31,4.682303594232167,4.445129005088688
type4_32,4.151104918432338,3.9611547144639303
type4_33,3.6852244533517933,3.5431520932583
type4_34,3.2765161745254545,3.1828404386769193
type4_35,2.917759907614368,2.872831159004022
type4_36,2.602595257154462,2.6065576845018086
type4_37,2.325445770246631,2.378199337639444
type4_38,2.081439971736472,2.182605024511531
type4_39,1.8663336839563271,2.015220515265355
type4_40,1.6764363842239618,1.8720215157478606
type4_41,1.5085431593778935,1.7494536037800685
type4_42,1.359872988011773,1.6443793190373412
type4_43,1.2280135277948148,1.554032173903522
type4_44,1.1108722330019987,1.4759770270262038
type4_45,1.0066334177233216,1.4080760791273974
type4_46,0.9137207689071261,1.3484596718128614
type4_47,0.8307647678729495,1.2955010644847675
type4_48,0.7565744757644666,1.2477944092023563
type4_49,0.690113161205943,1.2041352213140613
type4_50,0.6304772858553633,1.1635027416451749
type4_51,0.5768784080933642,1.1250436937879726
type4_52,0.5286276118273463,1.0880570495498318
type4_53,0.48512211326959687,1.0519795207018774
type4_54,0.4458337417866005,1.0163715911203894
type4_55,0.4102990305459002,0.9809039869210778
type4_56,0.3781106883373013,0.9453445511585983
type4_57,0.3489102555487307,0.90954554311827
type4_58,0.3223817750183571,0.8734314202356472
type4_59,0.29824633263353917,0.8369871840586711
type4_60,0.276257343446332,0.8002473819743727
type5_15,62.78378522778644,62.86281395165656
type5_16,50.604653806171086,50.67678606170023
type5_17,41.2140752583706,41.27996306889759
type5_18,33.86734160459309,33.927480363673
type5_19,28.04815814720712,28.102913401818455
