index,SMILE,IP,MinAbsEStateIndex,FractionCSP3,FpDensityMorgan3,Chi2v,BCUT2D_LOGPHI,MinAbsPartialCharge,MinPartialCharge,BCUT2D_MWHI,SPS,LF
35,C(Br)(Br)Br,0.3652842,0.27083333333333326,1.0,1.0,6.680767400622813,2.131510843773625,0.06371690512631244,-0.06371690512631244,79.95015715657301,9.0,-0.806875402
36,C(Br)Br,0.37603692,0.875,1.0,1.3333333333333333,2.727411870290968,1.8300848860732386,0.05878888811867264,-0.08024865081729037,79.93444491408715,6.0,-0.386158178
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.42710509,7.4845153061224465,1.0,0.5,3.293090315836464,2.5979390014527524,0.19210315101369407,-0.19210315101369407,19.441437640880466,16.5,3.491361694
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,5.07951388888889,1.0,1.0769230769230769,1.9958148790672414,2.4836888323444075,0.20328785426485033,-0.20328785426485033,19.4327007780415,15.23076923076923,1.505149978
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,2.556041666666667,1.0,1.25,1.9347147416310977,2.4541563170800313,0.38985275170457306,-0.38985275170457306,19.43172067400785,15.0,-0.259637311
40,C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,2.159050925925926,1.0,1.5454545454545454,1.8233137389904406,2.336677127029468,0.3899910801145583,-0.3899910801145583,19.418493783461322,16.636363636363637,-0.435333936
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.41301378,3.4861111111111116,1.0,1.4,2.279293466852799,2.419335668049369,0.2228672704969095,-0.2228672704969095,35.497015212575704,17.1,0.770852012
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.43155834,7.258749999999999,1.0,0.5882352941176471,2.7186972713986655,2.569350869783072,0.1919601604698603,-0.1919601604698603,19.441949650795227,16.235294117647058,3.612783857
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.45274427,6.966249999999999,1.0,0.5714285714285714,2.1443042269608665,2.527928368302267,0.18880756966325,-0.18880756966325,19.44412335407396,15.857142857142858,3.414973348
44,C(C(C(F)(F)F)(F)F)(F)F,0.444128271,4.70138888888889,1.0,1.1,1.4214218346294432,2.3915447290247545,0.2031484303687869,-0.2031484303687869,19.431442775333625,14.4,1.477121255
