index,SMILE,IP,FractionCSP3,BCUT2D_LOGPHI,qed,FpDensityMorgan1,Chi2v,BCUT2D_CHGLO,SPS,SMR_VSA5,VSA_EState8,GWP
72,C(C(F)(F)F)(F)Cl,0.434961906,1.0,2.244323380444813,0.35334876064599263,1.2857142857142858,1.2254841597643844,-2.014062439785146,16.714285714285715,11.807155734998098,0.0,2.775974331
73,C(C(F)(F)F)(F)F,0.466143167,1.0,2.2242350393052033,0.4274299240598743,1.0,0.8423090497599275,-2.00024158903679,12.857142857142858,12.601743262302666,0.0,3.572871602
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,1.0,2.479433713454099,0.7194741168571234,0.7058823529411765,2.564439179782366,-2.2845708386600543,17.11764705882353,30.74145144976021,0.0,3.821513528
75,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,1.0,2.2920115486571975,0.5709020914564944,0.9090909090909091,1.4212515750195418,-2.1352182725950906,16.636363636363637,18.896393113571058,0.0,3.876217841
76,C(C(F)(F)F)(OC(F)F)F,0.449640889,1.0,2.244883970084244,0.5732475481548114,1.0,1.254395240240068,-2.106708164165085,15.9,19.145539340986776,-3.7531250000000007,3.413299764
77,C(C(F)(F)F)Br,0.40375793,1.0,2.1561590803414625,0.47832900637313774,1.3333333333333333,1.309542651983764,-1.9478375322251615,12.0,6.176298517443475,0.0,2.247973266
78,C(C(F)(F)F)C(F)(F)F,0.475636481,1.0,2.313129926926086,0.4675163824708429,0.6666666666666666,1.4071318496053382,-2.075732028671521,14.0,18.773418657812957,0.0,3.939019776
79,C(C(F)(F)F)Cl,0.431566028,1.0,2.1440258012813658,0.42559296032518934,1.3333333333333333,1.0160694400229873,-1.9446254360145008,12.0,6.176298517443475,0.0,2.588831726
80,C(C(F)(F)F)F,0.465805406,1.0,2.1289031407741197,0.40653794072819166,1.1666666666666667,0.7488081981105629,-1.9337590983470294,12.0,6.176298517443475,-2.2291666666666665,3.184691431
81,C(C(F)(F)F)O,0.41202365,1.0,2.1069378396320526,0.4706748907200954,1.3333333333333333,0.7732914601627696,-1.9536152973638052,12.0,6.176298517443475,-1.7291666666666665,1.552668216
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.44815765,1.0,2.3680746610923844,0.6471636236161262,0.7692307692307693,1.9183880113030403,-2.193700490726692,14.76923076923077,18.461186544568434,-2.6532638888888886,3.017033339
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.434114265,1.0,2.2668669645357986,0.6353597676139614,1.0,1.7663501536938022,-2.158735913517623,14.0,18.710332771984152,-2.398472222222222,2.991226076
84,C(C(F)(F)F)OC(F)(F)F,0.450522174,1.0,2.2183467897313305,0.544353304875439,0.9,1.3495934509780156,-2.0836066570951366,13.8,12.538657376473857,-2.295138888888889,3.041392685
85,C(C(F)(F)F)OC(F)F,0.434837613,1.0,2.1517068552868057,0.54494256749566,1.2222222222222223,1.1868345822776059,-2.0438258897422417,12.666666666666666,12.787803603889575,-5.253125000000001,2.943494516
86,C(C(F)(F)F)OC=O,0.41206806,0.6666666666666666,2.1280414329399675,0.5119681281846417,1.5,1.0224068559833617,-2.0075048318216386,10.875,6.176298517443475,-1.7460416666666663,1.738780558
87,C(C(F)(F)F)OCC(F)(F)F,0.390384198,1.0,2.183031316869009,0.5940785896706683,0.7272727272727273,1.7231544341354457,-2.0853100909429307,13.636363636363637,12.35259703488695,-3.737083333333333,1.387389826
88,C(C(F)Cl)(F)Cl,0.41812027,1.0,2.1023337767657364,0.48231871701072077,1.0,1.5027769206633332,-1.9166189398814757,20.0,11.261714435109248,0.0,2.086359831
89,C(C(F)Cl)Cl,0.40263497,1.0,1.9613320319260708,0.45870060220187114,1.8,1.3275592793873403,-1.8064913279345756,15.0,5.630857217554624,0.0,1.668385917
90,C(C(F)F)(C(F)(F)F)F,0.446135934,1.0,2.2652553999485137,0.50471363803362,0.8888888888888888,1.2778312443178255,-2.090080882075246,16.333333333333332,18.773418657812957,0.0,3.176091259
91,C(C(F)F)(C(F)F)F,0.425523876,1.0,2.1254744476695144,0.505330255763941,0.625,1.1133362555167945,-2.018312710227252,12.0,19.022564885228675,0.0,2.40654018
92,C(C(F)F)(F)F,0.44230689,1.0,2.0368252703069194,0.44005067882216214,0.6666666666666666,0.6689098504474343,-1.888101817661491,11.0,12.850889489718382,0.0,3.100370545
93,C(C(F)F)(OC(F)(F)F)F,0.443660829,1.0,2.215037457622052,0.5732475481548114,1.0,1.2492047964454989,-2.094831465072621,15.9,19.145539340986776,0.0,3.100370545
94,C(C(F)F)C(F)(F)F,0.448141575,1.0,2.2247375775856493,0.4819942139803816,1.125,1.2103870321946981,-2.018125410277477,12.75,19.022564885228675,0.0,2.983175072
95,C(C(F)F)F,0.437768714,1.0,1.8819472535410462,0.44775035934082064,1.4,0.5453886597705079,-1.7820121429308684,9.6,6.425444744859191,-1.5277777777777777,2.561101384
96,C(C(F)F)O,0.395412296,1.0,1.841268753962773,0.48017709055434443,1.6,0.5736594956434714,-1.8106287872837064,9.6,6.425444744859191,-1.0277777777777777,0.790988475
97,C(C(F)F)OC(C(F)(F)F)(F)F,0.42061607,1.0,2.3581729117723733,0.6353597676139614,1.0,1.716624843326366,-2.182349623669446,14.0,18.71033277198415,-1.9518749999999994,2.983626287
98,C(C(F)F)OC(C(F)F)(F)F,0.412228567,1.0,2.2382941242114343,0.6048073047522098,1.0909090909090908,1.5645869857171277,-2.140822671510962,13.090909090909092,18.959478999399867,-1.6970833333333335,2.919601024
99,C(C(F)F)OC(F)(F)F,0.421283431,1.0,2.1615295288184844,0.54494256749566,1.2222222222222223,1.1478302830013412,-2.0431555717840633,12.666666666666666,12.787803603889575,-1.59375,2.970346876
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0.44160814,1.0,2.412765912427526,0.6840651106228234,0.7857142857142857,1.9790948141144808,-2.237458373803542,15.0,24.818922281665632,0.0,3.57634135
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.45755003,1.0,2.38683358171051,0.6693124531950059,0.7857142857142857,2.013771760842333,-2.2245274660678858,16.928571428571427,24.818922281665635,0.0,3.64246452
102,C(C=O)C(F)(F)F,0.384324082,0.6666666666666666,2.161692622226401,0.46459030395515666,1.4285714285714286,0.9859683890529489,-1.953851272052795,11.285714285714286,12.597120140369483,0.0,-1.602059991
103,C(CBr)Br,0.36698874,1.0,1.8228633887549897,0.5496400415990373,1.0,1.9639610121239308,-1.6345162219443488,7.5,0.0,0.0,0.008600172
104,C(CC(F)(F)F)CO,0.383171433,1.0,2.1989192904119004,0.5941990765165248,1.25,1.442337765497603,-2.012909611343551,12.0,19.017941763295493,-0.389375,-1.30980392
105,C(CCl)Cl,0.397082481,1.0,1.745902114921952,0.4363042365257152,1.0,1.1338934190276815,-1.6285173297622821,7.5,0.0,0.0,0.113943352
106,C(CF)F,0.435398311,1.0,1.6272868033903742,0.4267346251015632,1.0,0.3779644730092271,-1.6136857351814955,7.5,0.0,-1.6944444444444446,1.33243846
107,C(CF)O,0.385083898,1.0,1.5356876428595294,0.4528643106806505,1.75,0.4125890342545925,-1.6587392173240028,7.5,0.0,-0.9722222222222223,-0.27572413
108,C(Cl)(Cl)(Cl)Cl,0.40852219,1.0,2.293436919704575,0.46979553635275456,0.8,3.857142857142857,-1.9056260716405768,12.0,3.2517177575741014,0.0,3.342422681
109,C(Cl)(Cl)Cl,0.4066057,1.0,2.0323262923561325,0.42785917582286576,1.0,2.226922466874271,-1.6897836944317723,9.0,4.2954515122943855,0.0,1.31386722
110,C(Cl)Br,0.38953315,1.0,1.7819022394103068,0.43570756213837314,2.0,1.5746719775034714,-1.4249202606476712,6.0,0.0,0.0,0.675778342
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37929881,1.0,2.572780475191237,0.7705436791095532,0.5789473684210527,3.3989937452482555,-2.3659306854296003,15.789473684210526,36.28723681274779,-1.8231554705215425,-0.273272791
112,C(CO)C(F)(F)F,0.390538614,1.0,2.1720984329591992,0.5372389320364892,1.2857142857142858,1.0887843749043296,-1.9917744524557244,12.0,12.597120140369483,-0.8159722222222223,-0.207608311
113,C(CO)C(F)(F)F,0.392805693,1.0,2.1720984329591992,0.5372389320364892,1.2857142857142858,1.0887843749043296,-1.9917744524557244,12.0,12.597120140369483,-0.8159722222222223,-0.207608311
114,C(F)(Cl)(Cl)Cl,0.41484832,1.0,2.257291318583605,0.4494251669146117,1.2,2.571428571428571,-1.885378139536681,12.0,4.046305284878669,0.0,3.794488047
115,C(F)(Cl)Cl,0.4224273,1.0,1.9834401692482644,0.4091325491659136,1.5,1.237179148263484,-1.6768959063790034,9.0,5.090039039598953,0.0,2.204119983
116,C(F)(F)(Br)Br,0.39051257,1.0,2.275763289821472,0.5377108790425649,1.2,3.4846149779161797,-1.879971939991835,12.0,3.7410652163654134,0.0,2.334453751
117,C(F)(F)(Cl)Br,0.41649533,1.0,2.2481204898281186,0.48265299887814755,1.6,2.3557687223952257,-1.87273024127861,12.0,4.290979014274326,0.0,3.285557309
118,C(F)(F)(Cl)Cl,0.43204057,1.0,2.2189023423628966,0.429674058961908,1.2,1.5714285714285716,-1.8652577077182773,12.0,4.840892812183238,0.0,4.096910013
119,C(F)(F)(F)Br,0.42967108,1.0,2.2093247517986883,0.46101078485857105,1.2,1.3277469477228496,-1.8519840822435565,12.0,5.085566541578894,0.0,3.857332496
120,C(F)(F)(F)Cl,0.46668444,1.0,2.177851125980908,0.41085419838740544,1.2,0.8571428571428571,-1.8432761381917169,12.0,5.635480339487805,0.0,4.209515015
121,C(F)(F)(F)F,0.552391616,1.0,2.133572220796798,0.39316715302170946,0.8,0.42857142857142844,-1.8187869062239788,12.0,6.430067866792373,0.0,3.868056362
122,C(F)(F)(F)S(F)(F)(F)(F)F,0.48719863,1.0,3.040524000294378,0.5165256414444497,0.7,3.815561444390231,-2.4031231406450853,21.6,5.508330501264255,0.0,4.267171728
123,C(F)(F)Br,0.41649525,1.0,1.97300433739238,0.4376772227660281,1.5,0.9396214670270893,-1.6689687995022173,9.0,5.33471276899461,0.0,2.579783597
