index,SMILE,IP,SMR_VSA7,fr_halogen,Chi2v,FractionCSP3,SMR_VSA6,MinAbsEStateIndex,AvgIpc,SPS,FpDensityMorgan2,LF
67,C(C(F)(F)F)(C(F)(F)F)F,0.46716158,0.0,7,1.4457805568128046,1.0,0.0,4.7361111111111125,1.5894951972794726,14.4,0.9,1.556302501
68,C(C(F)(F)F)(Cl)Br,0.40330832,0.0,5,2.721600380221818,1.0,0.0,1.9166666666666672,1.3143204867061786,16.714285714285715,1.5714285714285714,0.0
69,C(C(F)(F)F)(Cl)Cl,0.42308256,0.0,5,1.9385737093057702,1.0,0.0,2.2569444444444455,1.3143204867061786,12.857142857142858,1.2857142857142858,0.113943352
70,C(C(F)(F)F)(F)(F)F,0.494092245,0.0,6,0.9955181380852692,1.0,0.0,6.0625,1.253297578463043,14.25,0.625,4.0
71,C(C(F)(F)F)(F)Br,0.41074817,0.0,5,1.6462396328429685,1.0,0.0,1.703125,1.3143204867061786,16.714285714285715,1.4285714285714286,0.462397998
72,C(C(F)(F)F)(F)Cl,0.434961906,0.0,5,1.2254841597643844,1.0,0.0,3.229166666666668,1.3143204867061786,16.714285714285715,1.4285714285714286,0.770852012
73,C(C(F)(F)F)(F)F,0.466143167,0.0,5,0.8423090497599275,1.0,0.0,4.20138888888889,1.3143204867061786,12.857142857142858,1.1428571428571428,1.477121255
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,0.0,11,2.564439179782366,1.0,0.0,1.798541666666667,1.980691454762246,17.11764705882353,1.0588235294117647,1.773786445
75,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,0.0,7,1.4212515750195418,1.0,0.0,2.010416666666667,1.564517736154244,16.636363636363637,1.2727272727272727,1.738780558
76,C(C(F)(F)F)(OC(F)F)F,0.449640889,0.0,6,1.254395240240068,1.0,0.0,2.4895833333333335,1.6021581478790754,15.9,1.4,1.149219113
77,C(C(F)(F)F)Br,0.40375793,0.0,4,1.309542651983764,1.0,5.330089647061427,0.9166666666666665,1.3516441151533922,12.0,1.5,0.505149978
78,C(C(F)(F)F)C(F)(F)F,0.475636481,0.0,6,1.4071318496053382,1.0,0.0,2.708333333333333,1.1431558784658322,14.0,0.8888888888888888,2.328379603
79,C(C(F)(F)F)Cl,0.431566028,0.0,4,1.0160694400229873,1.0,5.880003444970339,1.2569444444444442,1.3516441151533922,12.0,1.5,0.662757832
80,C(C(F)(F)F)F,0.465805406,0.0,4,0.7488081981105629,1.0,6.674590972274908,2.2291666666666665,1.3516441151533922,12.0,1.3333333333333333,1.146128036
81,C(C(F)(F)F)O,0.41202365,0.0,3,0.7732914601627696,1.0,6.606881964512918,1.7291666666666665,1.3516441151533922,12.0,1.5,-0.339134522
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.44815765,0.0,8,1.9183880113030403,1.0,6.606881964512918,2.375,1.794561384057248,14.76923076923077,1.1538461538461537,0.875061263
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.434114265,0.0,7,1.7663501536938022,1.0,6.606881964512918,2.398472222222222,1.8206843007450695,14.0,1.4166666666666667,0.785329835
84,C(C(F)(F)F)OC(F)(F)F,0.450522174,0.0,6,1.3495934509780156,1.0,6.606881964512918,2.295138888888889,1.5730118671551043,13.8,1.3,0.875061263
85,C(C(F)(F)F)OC(F)F,0.434837613,0.0,5,1.1868345822776059,1.0,6.606881964512918,1.898148148148148,1.5938548967005406,12.666666666666666,1.6666666666666667,0.740362689
86,C(C(F)(F)F)OC=O,0.41206806,0.0,3,1.0224068559833617,0.6666666666666666,6.606881964512918,0.2425694444444444,1.5920001314822056,10.875,2.0,-0.261219442
87,C(C(F)(F)F)OCC(F)(F)F,0.390384198,0.0,6,1.7231544341354457,1.0,13.213763929025836,1.8685416666666663,1.5536739848063479,13.636363636363637,1.0,-0.454692884
88,C(C(F)Cl)(F)Cl,0.41812027,0.0,4,1.5027769206633332,1.0,0.0,2.0771604938271606,1.3609640474436813,20.0,1.1666666666666667,0.238046103
89,C(C(F)Cl)Cl,0.40263497,0.0,3,1.3275592793873403,1.0,5.880003444970339,0.12345679012345667,1.3787834934861756,15.0,2.0,0.056904851
90,C(C(F)F)(C(F)(F)F)F,0.446135934,0.0,6,1.2778312443178255,1.0,0.0,3.981481481481482,1.6151713102472967,16.333333333333332,1.2222222222222223,1.056904851
91,C(C(F)F)(C(F)F)F,0.425523876,0.0,5,1.1133362555167945,1.0,0.0,3.2962962962962967,1.6403360647604435,12.0,0.875,0.505149978
92,C(C(F)F)(F)F,0.44230689,0.0,4,0.6689098504474343,1.0,0.0,3.481481481481482,1.3609640474436813,11.0,0.8333333333333334,1.0
93,C(C(F)F)(OC(F)(F)F)F,0.443660829,0.0,6,1.2492047964454989,1.0,0.0,2.2824074074074074,1.5998182365478808,15.9,1.4,0.954242509
94,C(C(F)F)C(F)(F)F,0.448141575,0.0,5,1.2103870321946981,1.0,0.0,2.0069444444444446,1.210810026106033,12.75,1.5,0.897627091
95,C(C(F)F)F,0.437768714,0.0,3,0.5453886597705079,1.0,6.674590972274908,1.5277777777777777,1.3787834934861756,9.6,1.6,0.556302501
