index,SMILE,FractionCSP3,fr_halogen,IP,SMR_VSA7,ExactMolWt,HomoLumoGap,Chi0v,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_CHGHI,GWP
58,C(C(F)(Cl)Cl)(F)(F)F,1.0,6,0.43024014,0.0,169.93131824,0.29392,4.779644730092271,1.0,1.0,2.5326781699956156,3.870403905
59,C(C(F)(Cl)Cl)(F)Cl,1.0,5,0.40705172,0.0,167.911189512,0.28215,5.234959472291124,1.5714285714285714,1.5714285714285714,2.3237799356904922,2.389166084
60,C(C(F)(Cl)Cl)F,1.0,4,0.41872573,0.0,133.950161864,0.29288,4.230822565260365,1.6666666666666667,1.6666666666666667,2.1995028203011313,2.534026106
61,C(C(F)(F)Br)(F)(F)Br,1.0,6,0.39522931,0.0,257.83028708,0.24622,6.439779916284771,0.875,0.875,2.51532673764833,3.336459734
62,C(C(F)(F)Cl)(Cl)Cl,1.0,5,0.40670093,0.0,167.911189512,0.28432,5.234959472291125,1.4285714285714286,1.4285714285714286,2.330114227963144,1.751279104
63,C(C(F)(F)Cl)(F)(F)Cl,1.0,6,0.43310363,0.0,169.93131824,0.32408,4.779644730092272,0.875,0.875,2.5300351604922002,3.974511693
64,C(C(F)(F)Cl)(F)(F)F,1.0,6,0.4565249,0.0,153.96086878,0.33644,4.023715784073818,1.0,1.0,2.556430824197252,3.982271233
65,C(C(F)(F)Cl)(F)Cl,1.0,5,0.42559675,0.0,151.940740052,0.31698,4.4790305262726715,1.5714285714285714,1.5714285714285714,2.3495811568979157,2.596597096
66,C(C(F)(F)F)(C(F)(F)F)(F)F,1.0,8,0.465475764,0.0,187.98722576,0.42021,4.523715784073818,0.6363636363636364,0.6363636363636364,2.7398215896512284,3.968015714
67,C(C(F)(F)F)(C(F)(F)F)F,1.0,7,0.46716158,0.0,169.996647572,0.41225,4.223101580254217,0.9,0.9,2.571487740245769,3.556302501
68,C(C(F)(F)F)(Cl)Br,1.0,5,0.40330832,0.0,195.890224472,0.25572,5.309098119368921,1.5714285714285714,1.5714285714285714,2.3523440685392307,1.653212514
69,C(C(F)(F)F)(Cl)Cl,1.0,5,0.42308256,0.0,151.940740052,0.29568,4.479030526272671,1.2857142857142858,1.2857142857142858,2.3576580870088257,1.95616843
70,C(C(F)(F)F)(F)(F)F,1.0,6,0.494092245,0.0,137.99041932,0.47485,3.267786838055364,0.625,0.625,2.583934969837845,4.093421685
71,C(C(F)(F)F)(F)Br,1.0,5,0.41074817,0.0,179.919775012,0.27328,4.553169173350466,1.4285714285714286,1.4285714285714286,2.3720193758217065,2.303196057
72,C(C(F)(F)F)(F)Cl,1.0,5,0.434961906,0.0,135.970290592,0.32506,3.723101580254217,1.4285714285714286,1.4285714285714286,2.377459919339947,2.775974331
73,C(C(F)(F)F)(F)F,1.0,5,0.466143167,0.0,119.999841132,0.43772,2.9671726342357623,1.1428571428571428,1.1428571428571428,2.397598227626578,3.572871602
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,1.0,11,0.44524624,0.0,285.98517507200006,0.41176,7.143207762754986,1.0588235294117647,1.2941176470588236,2.7554860233951146,3.821513528
75,C(C(F)(F)F)(OC(F)(F)F)F,1.0,7,0.463875284,0.0,185.991562192,0.44026,4.631349870718079,1.2727272727272727,1.3636363636363635,2.4793658595442625,3.876217841
76,C(C(F)(F)F)(OC(F)F)F,1.0,6,0.449640889,0.0,168.000984004,0.43354,4.330735666898478,1.4,1.5,2.4254570902766814,3.413299764
77,C(C(F)(F)F)Br,1.0,4,0.40375793,0.0,161.929196824,0.27033,4.304961212338161,1.5,1.5,2.235362705373473,2.247973266
78,C(C(F)(F)F)C(F)(F)F,1.0,6,0.475636481,0.0,152.006069384,0.46237,3.9748936192419113,0.8888888888888888,0.8888888888888888,2.4307481662253396,3.939019776
