,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,GWP
88,C(C(F)Cl)(F)Cl  ,0.41812027,-0.07325918,0.31375,134.94,2.0552,21.498,6,44.04179640184197,2.993497243478473,30.52932501298081,2.2153347
89,C(C(F)Cl)Cl ,0.40263497,-0.06753868,0.29848,116.95,1.7596,21.469,5,39.87626099891573,2.5395388613593908,21.60964047443681,1.6947172
90,C(C(F)F)(C(F)(F)F)F,0.446135934,-0.135497046,0.39126,152.037,2.1519000000000004,16.955000000000002,9,46.46234767418017,3.877604668586773,82.79398751947123,3.0227695
91,C(C(F)F)(C(F)F)F,0.425523876,-0.137884465,0.38037,134.047,1.8547,16.904000000000003,8,42.29681227125394,3.4642268472310964,52.69412204936134,2.3844266
92,C(C(F)F)(F)F,0.44230689,-0.180812396,0.41552,102.03000000000002,1.5166,12.008000000000004,6,31.76633475393109,2.993497243478473,26.52932501298081,2.8362265
93,C(C(F)F)(OC(F)(F)F)F,0.443660829,-0.158507004,0.41983,168.03599999999997,2.0835,18.040000000000003,10,51.57589290368706,3.684241106689692,97.65627610972469,3.1219459
94,C(C(F)F)C(F)(F)F,0.448141575,-0.168001068,0.43359,134.047,2.2039,16.676000000000002,8,42.296812271253934,3.388924101358251,62.56425891682004,3.0407085
95,C(C(F)F)F,0.437768714,-0.17073717,0.40601,84.04,1.221,11.979000000000005,5,27.600799351004863,2.5395388613593908,18.854752972273342,2.4663327
96,C(C(F)F)O,0.395412296,-0.159027348,0.35736,82.04899999999999,0.2438,13.089800000000002,5,28.22949770027464,2.5395388613593908,21.60964047443681,0.9133019
97,C(C(F)F)OC(C(F)(F)F)(F)F,0.42061607,-0.137700317,0.38777,200.053,2.4232000000000005,22.958,12,62.1063704210099,4.050917999458095,138.83202715243527,2.9862134
98,C(C(F)F)OC(C(F)F)(F)F,0.412228567,-0.139451699,0.38723,182.063,2.1260000000000003,22.907,11,57.94083501808366,3.729270365317557,113.14991061829625,2.5863507
99,C(C(F)F)OC(F)(F)F,0.421283431,-0.159982744,0.39895,150.046,1.7879,18.011,9,47.41035750076082,3.2807108400137506,76.76251764207414,2.7797327
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0.44160814,-0.13445993,0.41661,236.033,3.016,23.038,14,70.43744122686236,4.6744778449093785,193.47886011153977,3.4243324
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.45755003,-0.12745314,0.41088,236.033,3.016,23.038,14,70.43744122686236,4.6272677578405474,189.9690851072129,3.8366783
102,C(C=O)C(F)(F)F,0.384324082,-0.057437175,0.22868,112.05,1.1377,16.736,7,38.12726356544523,3.336809769016681,65.07049634349661,-1.2501827
103,C(CBr)Br,0.36698874,-0.04744323,0.2502,187.862,1.7762,27.587999999999997,4,42.83928835350887,1.9747448713915892,6.0,-0.017676765
104,C(CC(F)(F)F)CO,0.383171433,-0.140146978,0.34344,128.09300000000002,1.3212000000000002,22.3748,8,45.12491733199408,3.1117661943884265,58.793987519471216,-0.5327195
105,C(CCl)Cl ,0.397082481,-0.076693792,0.30045,98.96,1.464,21.439999999999998,4,35.71072559598951,1.9747448713915892,6.0,0.038022347
106,C(CF)F,0.435398311,-0.168545693,0.39959,66.05,0.9254,11.950000000000005,4,23.435263948078628,1.9747448713915892,6.0,1.9330318
107,C(CF)O,0.385083898,-0.166996319,0.35533,64.059,-0.0517999999999999,13.060800000000002,4,24.0639622973484,1.9747448713915892,8.0,-0.5059311
108,C(Cl)(Cl)(Cl)Cl ,0.40852219,-0.00073784,0.2469,153.823,2.5529,26.143,5,49.952315935356246,3.0237157840738176,19.11941547876375,3.1066396
109,C(Cl)(Cl)Cl  ,0.4066057,-0.03379489,0.26614,119.378,1.9864,21.347,4,39.64904970847457,2.3237900077244498,8.0,1.392088
110,C(Cl)Br,0.38953315,-0.05686502,0.25797,129.384,1.5776,19.647,3,32.910064860352584,1.6329931618554523,4.754887502163468,0.50082207
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F  ,0.37929881,-0.09606565,0.30746,314.09399999999994,3.4723,37.545800000000014,19,97.5440268985938,5.76901042128706,317.4956154916877,-0.11119547
112,C(CO)C(F)(F)F,0.390538614,-0.154911782,0.35691,114.06600000000002,0.9311,17.757800000000003,7,38.75997521759748,3.154490065368808,48.63193444574935,0.96524525
113,C(CO)C(F)(F)F  ,0.392805693,-0.143236939,0.34552,114.06600000000002,0.9311,17.757800000000003,7,38.75997521759748,3.154490065368808,48.63193444574935,0.914628
114,C(F)(Cl)(Cl)Cl,0.41484832,-0.02017459,0.26004,137.368,2.2836,21.398,5,43.8145851114008,3.0237157840738176,22.36452797660028,3.3430972
115,C(F)(Cl)Cl,0.4224273,-0.06286567,0.29459,102.923,1.7171,16.602,4,33.511318884519135,2.3237900077244498,10.75488750216347,2.2492983
116,C(F)(F)(Br)Br ,0.39051257,-0.01953755,0.22834,209.815,2.3265,22.801,5,44.805417044964734,3.0237157840738176,23.11941547876375,2.3454545
117,C(F)(F)(Cl)Br  ,0.41649533,-0.03301127,0.24998,165.364,2.1704,19.727,5,41.241135666205054,3.0237157840738176,25.11941547876375,3.4222372
118,C(F)(F)(Cl)Cl,0.43204057,-0.05132536,0.29035,120.913,2.0143,16.653,5,37.676854287445366,3.0237157840738176,23.11941547876375,3.7627733
119,C(F)(F)(F)Br ,0.42967108,-0.06963154,0.28013,148.909,1.9011,14.982,5,35.10340484224961,3.0237157840738176,22.36452797660028,4.0299344
120,C(F)(F)(F)Cl,0.46668444,-0.100428753,0.34132,104.458,1.745,11.908,5,31.53912346348993,3.0237157840738176,22.36452797660028,4.231016
121,C(F)(F)(F)F,0.552391616,-0.300664529,0.60756,88.00300000000001,1.4756999999999998,7.163,5,25.40139263953448,3.0237157840738176,19.11941547876375,3.6834128
122,C(F)(F)(F)S(F)(F)(F)(F)F ,0.48719863,-0.01694857,0.31006,196.062,3.8047,19.186000000000003,10,49.536302937495584,5.137570366690087,139.3579162779442,3.7954273
123,C(F)(F)Br,0.41649525,-0.07931005,0.28107,130.91899999999998,1.6039,14.931,4,30.93786943932338,2.3237900077244498,10.75488750216347,2.6664689
124,C(F)(F)Cl  ,0.450858998,-0.107018621,0.33856,86.468,1.4478,11.857,4,27.37358806056369,2.3237900077244498,10.75488750216347,3.0869615
125,C(F)(F)F  ,0.513551347,-0.220811165,0.50549,70.013,1.1785,7.112,4,21.23585723660825,2.3237900077244498,8.0,3.15911
126,C(F)F ,0.462914254,-0.199090147,0.44412,52.023,0.8829,7.083,3,17.07032183368202,1.6329931618554523,2.754887502163468,2.982574
127,C(OC(C(F)(F)F)C(F)(F)F)F,0.414008661,-0.139102222,0.38006,200.053,2.4232000000000005,22.958,12,62.10637042100989,4.451370337553119,121.32225214810832,2.6645324
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F ,0.42209997,-0.10784641,0.40549,466.0679999999998,5.0548,46.02999999999998,28,140.39659319345307,5.64344943017483,472.7736377748582,3.6066859
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,0.42972064,-0.12238995,0.40972,350.0549999999999,3.8526,35.05100000000001,21,105.89102212344804,5.221512557453938,309.8844652408676,3.7134192
130,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F ,0.44077539,-0.13627213,0.42476,300.0479999999999,3.2173,30.104,18,91.19500920319898,4.819985967980672,266.238766217315,3.4805317
131,C(OC(F)(F)F)(F)F,0.47727846,-0.191236976,0.47323,136.019,1.7453999999999998,13.144000000000002,8,41.04541538636421,3.388924101358251,65.31914641898351,3.9649868
132,C(OC(F)F)(F)F,0.46223828,-0.18825696,0.46523,118.029,1.4482,13.093000000000002,7,36.87987998343798,2.953223174561293,38.95445336320969,3.8430197
133,C=C(C(F)(F)F)C(F)(F)F,0.420570216,-0.042582466,0.27334,164.048,2.6672,21.25,10,52.13768675639253,4.398990539719588,120.80725598781608,1.6402451
134,C=C(C(F)(F)F)F,0.395688332,-0.079605069,0.27158,114.041,2.0319,16.303,7,37.44167383614345,3.7911184170869663,79.42592196522058,-0.29428408
135,C=C(F)F,0.374979178,-0.134322125,0.28947,64.034,1.3965999999999998,11.356000000000002,4,22.745660915894376,2.8030394876740514,27.019550008653876,-1.3859847
136,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,0.38933076,-0.04839982,0.27212,346.0859999999999,4.911200000000001,40.987,21,106.7562030344626,6.196967849934973,400.88454760944825,-0.45885506
137,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F ,0.39444207,-0.05330489,0.27227,246.07199999999995,3.6406,31.093,15,77.36417719396445,5.474544774893143,247.81840902932043,0.023870168
138,C=CC(C(C(F)(F)F)(F)F)(F)F,0.396643015,-0.057370464,0.27259,196.065,3.0053,26.146,12,62.66816427371538,4.97335956314268,176.72598183219483,-0.29101974
139,C=CC(C(F)(F)F)(F)F,0.400060601,-0.065103318,0.27422,146.05800000000002,2.37,21.199,9,47.972151353466295,4.322570986780221,110.61662740247264,-0.5896999
140,C=CC(F)(F)F,0.403786882,-0.076706918,0.27809,96.051,1.7347,16.252000000000002,6,33.27613843321721,3.4459912135188384,51.548875021634686,-0.47064877
141,C=CCOC(=O)C(F)(F)F,0.366368943,-0.058972677,0.24274,154.087,1.2779,27.210999999999995,10,55.28108999156108,3.739894884650757,138.31871457045798,-1.975625
142,C=CF,0.374231874,-0.126083181,0.28154,46.044,1.0994,11.305,3,18.580125512968134,2.1874960973678963,10.264662506490405,-1.5693306
143,C=COC(=O)C(F)(F)F,0.368239439,-0.037125288,0.22521,140.06,1.2354,22.344,9,48.91614787716447,3.882768219414684,126.2646625064904,-1.9201565
144,C=COCC(F)(F)F,0.33623079,-0.121188592,0.26885,126.077,1.7088,22.203999999999997,8,44.7546257771207,3.239280745266341,75.84283310353014,-1.4536997
145,CBr ,0.38708764,-0.09880752,0.27494,94.939,1.0111,14.851,2,22.606798633470916,1.0,2.0,-0.3647184
146,CC(=O)C(F)(F)F,0.385391595,-0.046320215,0.22636,112.05,1.1377,16.736,7,38.12726356544523,3.7911184170869663,82.67103446305711,-1.1610336
147,CC(C(F)(F)F)(F)F,0.44720753,-0.176548456,0.43408,134.04700000000005,2.2039,16.676000000000002,8,42.29681227125394,4.020391543176799,62.6550220320536,3.3137813
148,CC(C)(F)F,0.422796813,-0.165457053,0.41703,80.07700000000001,1.6615,16.295,5,29.80020606247524,3.0237157840738176,20.36452797660028,2.3235536
149,CC(C)Br,0.36951547,-0.08732849,0.26734,122.993,1.7897,24.06299999999999,4,35.33668286226413,2.3237900077244498,8.0,-0.9212006
150,CC(C)Cl,0.39144981,-0.111519423,0.31386,78.542,1.6336,20.988999999999997,4,31.77240148350444,2.3237900077244498,8.0,-0.7494326
151,CC(CC(F)(F)F)(F)F,0.433993344,-0.151148554,0.41863,148.074,2.594000000000001,21.293,9,48.66175438565055,3.746417931251032,74.11156720155853,2.9532588
