Screening ID,MOFs,5SF6,1SF6,0SF6,5N2,1N2,0N2,LCD,PLD,VolumetricSurfaceArea,GravimetricSurfaceArea,PoreVolume,VoidFraction,5Selectivity,5WC,1Selectivity,1WC,
2786,YILBOM_clean,6.154979305,4.527171378,2.03836654,0.483490656,0.186129706,0.041598004,10.21337,6.38714,2243.94,2879.11,0.928739,0.723848,114.5726666,1.627807927,218.9040285,2.488804838,
2064,SAKNOJ_clean,4.208454524,2.902260925,0.468389096,0.493832071,0.176166257,0.030987574,15.48179,8.59456,1065.3,1287.62,0.84969,0.702983,76.69832103,1.306193599,148.271007,2.433871829,
2787,YILBUS_clean,5.034485165,3.738752198,1.328519198,0.506730848,0.178664557,0.04260541,10.72292,6.88808,2154.09,2754.94,0.934551,0.730729,89.41702805,1.295732968,188.3348903,2.410233,
1703,OLOGAY_clean,9.856993672,8.894355978,6.502917078,0.311932106,0.153501028,0.049604813,8.68486,6.32279,2801.86,3687,1.04008,0.790383,284.3982435,0.962637694,521.4896919,2.3914389,
2235,TUWFIC_clean,3.292443575,2.633122186,0.282592931,0.504369803,0.143350254,0.022363469,10.9773,6.53724,2260.62,2345.73,0.747342,0.720227,58.75052788,0.659321389,165.3160634,2.350529255,
2775,YATWAU_clean,5.4676,5.1301,2.8126,0.36,0.18,0.045,10.70688,9.04659,1869.33,2023.37,0.719302,0.664543,136.69,0.3375,256.505,2.3175,
678,EYUKUF_clean,4.304204688,2.606744755,0.292093936,0.351933481,0.154606046,0.02387662,9.48641,6.47147,2108.66,2562.25,0.846087,0.696308,110.0714887,1.697459933,151.745054,2.314650819,
124,AWUVIZ_clean,4.798852802,3.174360301,0.870298452,0.575094768,0.206817026,0.037796926,10.02556,7.50584,2286.01,2538.17,0.818128,0.736851,75.1001011,1.624492501,138.1377697,2.304061849,
1739,ORAWAH_clean,4.984320874,3.281758024,0.984265473,0.566990076,0.210800271,0.035538945,14.82675,6.56061,1930.67,2236.85,0.808953,0.698221,79.11758912,1.70256285,140.1128285,2.297492551,
2199,TEYHIP_charged,4.288323364,3.825655511,1.533259304,0.146999421,0.067194681,0.025340153,7.18204,6.12269,1837,2120.72,0.725179,0.628161,262.551444,0.462667853,512.4051336,2.292396206,
2545,WOBHIF_clean,3.592665719,2.651323982,0.36323273,0.434430694,0.161539359,0.024755143,0.025750273,10.79436,1635.74,1294.25,0.520436,0.657757,74.42842299,0.941341738,147.7158008,2.288091252,
881,HACNIL_clean,3.942301113,2.910498011,0.62315777,0.173465774,0.106978229,0.024079687,8.12548,6.32908,1573.27,1799.09,0.698815,0.611102,204.5401188,1.031803102,244.8580645,2.287340241,
2546,WOBHIF01_clean,3.70877021,2.610241525,0.354810031,0.432214735,0.160721198,0.024301179,0.02560921,10.75997,1636.23,1307.89,0.527087,0.659408,77.22765843,1.098528685,146.1672385,2.255431494,
2456,VURNED_clean,4.422543276,4.037271087,1.786582162,0.185986017,0.098250766,0.037293839,8.28196,7.22796,2025.25,2091.27,0.684513,0.662903,214.0101183,0.385272189,369.8234761,2.250688925,
2547,WOBHIF02_clean,3.517694981,2.495993926,0.273968538,0.45466928,0.16109309,0.023147033,0.023262447,10.81384,1588.04,1300.11,0.543566,0.66395,69.63139191,1.021701054,139.446983,2.222025389,
2153,SUHMEP_clean,4.351558213,2.483727873,0.277423485,1.16694213,0.068835202,0.014365143,8.35438,6.74513,1647.5,1312.62,0.480546,0.603144,33.56123917,1.86783034,324.7401069,2.206304388,
1961,RANVUA_clean,5.570599579,3.661599932,1.457802243,0.641996193,0.235442166,0.032502401,17.88039,10.83041,1191.07,1398.91,0.872863,0.743177,78.09298055,1.908999647,139.9681287,2.203797689,
1781,OYEWIA_clean,4.906212271,2.993391906,0.791582735,0.535959591,0.194948474,0.03141888,10.37041,7.95909,2032.16,2997.63,1.03893,0.704313,82.38664105,1.912820365,138.1930651,2.201809171,
1395,LAZXIV_clean,4.462215226,2.629473734,0.444228275,0.348927462,0.137346572,0.022898365,10.90513,7.2382,2104.39,2452.37,0.833626,0.715336,115.0953748,1.832741492,172.3032709,2.185245459,
679,EYULEQ_clean,4.211733461,2.55373175,0.38136112,0.444260472,0.160943043,0.02126683,9.95241,7.80489,2120.1,2821.18,0.938711,0.705437,85.32292098,1.658001711,142.8057114,2.17237063,
1426,LIZZAX_clean,4.67227046,3.693185791,1.527861538,0.437587652,0.174296012,0.036554147,7.03652,6.16969,2287.35,2324.48,0.682683,0.671779,96.09602544,0.979084669,190.7024248,2.165324253,
2719,XODQAK_clean,5.556021022,3.314320095,1.154017789,0.546558022,0.202670219,0.030640835,16.93476,12.40956,2063.91,2465.38,0.906337,0.758747,91.48926039,2.241700927,147.1793982,2.160302306,
555,DUWBEE_clean,3.893108867,2.511397755,0.397862932,0.431458633,0.163464296,0.022639102,7.4726,6.03228,2394.05,2462.21,0.73698,0.716579,81.20820195,1.381711112,138.2722732,2.113534823,
2866,ZESFUY_clean,2.917634825,2.115336337,0.022698714,0.563464609,0.1123394,0.011156995,9.55894,8.11615,1762.82,2036.14,0.757199,0.655559,46.60224086,0.802298488,169.4688331,2.092637623,
269,CAVRAU_clean,4.036839495,3.194103072,1.115468814,0.261618602,0.120517932,0.027028736,8.03793,6.39763,1840.72,1851.67,0.65192,0.648066,138.8722177,0.842736423,238.5282188,2.078634258,
2459,VURNED03_clean,4.473645881,4.342971218,2.311022804,0.08417498,0.042926697,0.031991579,7.94238,7.07129,2010.12,2049.22,0.667669,0.65493,478.3228096,0.130674663,910.5462094,2.031948414,
384,COJMOF02_clean,3.496224514,2.941104232,0.912863792,0.216410503,0.096860543,0.025348096,7.73628,6.75991,1822.23,1996.21,0.692496,0.632143,145.3996927,0.555120282,273.278853,2.02824044,
